Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin_cultivo
9205002083060005,9,20,50,2,8306,5,0,,,,,,,,,,,,,,,,100.0,2,2.0,,1.0,1.0,,1.0,1.0,,,,,,2.0,,4,0.27598438277518106,1,0.0,99.0,1,43,4,2,0,1,1,100.0,1,9,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,507,1,,0,1.0,8.0,20.0,12.0,60.0,60.0,60.0,60.0,,4000.0,37.0,220.0,19.0,1.0,4000.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,1,60.0,100.0,,,,,,1,0,,,,,,,1,13500.0,2.0,,,,,,,1,0.0,,,1.0,250.0,5.0,4.0,30.0,5.0,3.0,50.0,5.0,4.0,,,,10.0,0.0,1,60.0,60.0,7.0,1.0,507.0,,507.0,,2.0,,4.0,400.0,0.0,,,,,,,,60.0,,,,,790.0,60.0,60.0,60.0,1,0.459973971291967
9065202067080004,9,6,52,2,6708,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.4672,8,8.0,,8.0,8.0,,,,,,,,,2.0,,4,0.29654299960452096,0,,0.2,1,57,4,6,0,0,0,12.0,2,5,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,507,1,,0,1.0,6.0,20.0,10.0,12.0,8.4672,12.0,8.4672,,360.0,37.0,220.0,19.0,2.0,360.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,1,8.4672,100.0,,,,,,1,1,,,,,6.0,1.0,1,1400.0,2.0,1400.0,2.0,,,1400.0,2.0,1,0.0,,,1.0,10.0,5.0,3.0,10.0,5.0,2.0,,,,,,,,7.0,1,12.0,8.4672,6.0,1.0,507.0,,507.0,,2.0,,4.0,36.0,0.0,,,,,,,,8.4672,,,,,36.0,8.4672,8.4672,8.4672,1,0.29654299960452096
12035002137630006,12,3,50,2,13763,6,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.69,10,10.0,,3.0,3.0,,,,,7.0,7.0,,,2.0,,4,0.32560343727609303,0,,2.0,1,58,3,2,0,1,1,36.69,1,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,507,1,,1,1.0,1.0,20.0,5.0,2.0,2.0,2.0,2.0,,30.0,35.0,100.0,19.0,6.0,30.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,4.0,5.0,16.0,5.0,,,,,1,0.0,,,1.0,3.0,5.0,3.0,3.0,5.0,3.0,,,,,,,4.0,,1,2.0,2.0,1.0,1.0,507.0,,507.0,,2.0,,4.0,1.3636363636363602,0.0,,,,,,,,2.0,,,,,1.3636363636363602,,2.0,2.0,1,5.97319505682993
9115402133430004,9,11,54,2,13343,4,0,,,,,,,,,,,,,,,,2.0,2,2.0,,2.0,2.0,,,,,,,,,2.0,,4,0.535499757101919,0,,99.0,1,33,3,1,0,0,1,2.0,1,3,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,507,1,,1,1.0,5.0,20.0,8.0,2.0,2.0,2.0,2.0,,80.0,37.0,210.0,19.0,2.0,80.0,37.0,210.0,19.0,100.0,,,,,,,,,,0,0,1,1,2.0,100.0,,,,,,1,0,,,,,,,1,3.0,3.0,10.0,3.0,,,,,1,0.0,,,1.0,4.0,5.0,3.0,4.0,5.0,4.0,,,,,,,,2.0,1,2.0,2.0,12.0,1.0,507.0,,507.0,,2.0,,4.0,7.63636363636364,0.0,,,,,,,,2.0,,,,,7.63636363636364,2.0,2.0,2.0,1,0.535499757101919
9115402135040002,9,11,54,2,13504,2,0,,,,,,,,,,,,,,,,404.0,82,82.0,,1.0,1.0,,35.0,35.0,,46.0,46.0,,,2.0,,4,0.829399855738315,0,,1.0,1,50,4,3,1,1,1,404.0,1,10,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,507,1,,1,1.0,1.0,20.0,4.0,70.0,70.0,70.0,70.0,,3500.0,37.0,210.0,19.0,1.0,3500.0,37.0,210.0,19.0,100.0,,,,,,,,,,0,0,1,1,70.0,100.0,,,,,,1,0,,,,,,,1,280.0,3.0,,,,,140.0,3.0,1,0.0,,,1.0,420.0,5.0,2.0,35.0,5.0,2.0,,,,,,,8.0,,0,,,,,,,507.0,,2.0,,4.0,334.090909090909,0.0,,,,,,,,70.0,,,,,334.090909090909,70.0,70.0,70.0,1,2.06837988714987
9065402057780008,9,6,54,2,5778,8,0,,,,,,,,,,,,,,,,16.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,0.8696338957144258,0,,10.0,1,42,4,1,0,0,0,16.0,1,6,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,507,1,,1,1.0,8.0,20.0,12.0,16.0,16.0,16.0,16.0,,720.0,37.0,210.0,19.0,2.0,720.0,37.0,210.0,19.0,100.0,,,,,,,,,,0,0,2,1,16.0,100.0,,,,,,1,0,,,,,,,1,6000.0,2.0,2800.0,2.0,,,2500.0,2.0,1,0.0,,,1.0,16.0,5.0,4.0,16.0,5.0,2.0,,,,,,,30.0,,1,16.0,16.0,8.0,1.0,507.0,,507.0,,2.0,,4.0,68.7272727272727,0.0,,,,,,,,16.0,,,,,126.0,16.0,16.0,16.0,1,0.8696338957144258
9205002084990007,9,20,50,2,8499,7,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,115.0,5,5.0,,1.0,1.0,,,,,4.0,4.0,,,2.0,,4,0.8952356405671609,1,0.0,99.0,0,45,4,2,0,0,0,115.0,1,9,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,507,1,,0,3.0,1.0,20.0,5.0,15.0,15.0,15.0,15.0,,600.0,37.0,220.0,19.0,2.0,600.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,1,15.0,100.0,,,,,,1,0,,,,,,,1,2.0,3.0,3.0,3.0,,,,,1,0.0,,,1.0,,,,12.5,5.0,3.0,,,,,,,4.0,1.0,1,15.0,15.0,2.0,1.0,507.0,,507.0,,2.0,,4.0,60.0,0.0,,,,,,,,,,15.0,,,60.0,15.0,15.0,15.0,1,6.863473244348231
9205502094640005,9,20,55,2,9464,5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.75,5,5.0,,1.0,1.0,,,,,4.0,4.0,,,2.0,,4,0.925193318498342,1,0.0,0.5,0,60,3,1,0,0,0,3.75,1,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,507,1,,1,1.0,6.0,20.0,10.0,3.75,3.75,3.75,3.75,,105.0,37.0,220.0,19.0,1.0,105.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,2,1,3.75,100.0,,,,,,1,0,,,,,,,1,350.0,2.0,250.0,2.0,,,,,1,0.0,,,1.0,,,,4.0,5.0,2.0,,,,,,,2.0,,1,3.75,3.75,1.0,1.0,507.0,,507.0,,2.0,,4.0,10.5,0.0,,,,,,,,3.75,,,,,17.6,3.75,3.75,3.75,1,0.925193318498342
9055051000993418,9,5,50,51,99,3418,0,,,,,,,,,,,,,,,,61.02,18,18.0,,1.0,1.0,,2.0,2.0,,15.0,15.0,,,2.0,,4,1.0,1,1.0,,1,99,4,2,0,0,0,61.02,1,8,6,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,2,507,1,,1,1.0,6.0,20.0,11.0,60.97,60.97,60.97,60.97,,3500.0,35.0,100.0,19.0,2.0,3500.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,2,1,60.97,100.0,,,,,,0,0,,,,,,,0,350.0,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,0,,,,,,,507.0,,2.0,,4.0,159.090909090909,0.0,,,,,,,,60.97,,,,,318.181818181818,60.97,,,1,1.0
3045251000993377,3,4,52,51,99,3377,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,230.1,11,11.0,,1.0,1.0,,1.0,1.0,,9.0,9.0,,1.0,,,4,1.0,1,1.0,,1,49,4,1,1,0,0,230.1,1,10,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,507,1,,0,3.0,7.0,20.0,11.0,230.0,230.0,230.0,230.0,,10350.0,38.0,215.0,19.0,6.0,10350.0,38.0,215.0,19.0,100.0,,,,,,,,,,0,0,1,1,230.0,100.0,,,,,,1,1,3680.0,3.0,,,,,1,1840.0,3.0,920.0,3.0,,,,,1,0.0,,,1.0,230.0,5.0,2.0,230.0,5.0,2.0,230.0,5.0,2.0,,,,9.0,,1,230.0,230.0,7.0,1.0,507.0,,507.0,1.0,,,4.0,1011.47727272727,0.0,,,,,,,,,,230.0,,,2022.95454545454,230.0,230.0,230.0,1,1.0
