Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin_cultivo
12075404000020009,12,7,54,4,2,9,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,29.25,8,8.0,,1.0,1.0,,,,,7.0,7.0,,,2.0,,4,0.0595514302146004,1,1.0,,1,58,4,1,0,0,0,29.25,1,7,3,0.0,0.0,,,0.0,0.0,0.0,,2,2,411,1,,4.0,3.0,3.0,1.0,1.49,1.49,1.49,1.49,1.49,1.49,,36.0,35.0,100.0,6.0,2.0,36.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,,,,3.0,5.0,3.0,,,,,,,1.0,,,411,,2.0,,4,1.6363636363636398,1.6363636363636398,0.0,,,,,,,,4,1.49,,,1.49,,,,,,1.49,1,0.760526056631178
12065104000040018,12,6,51,4,4,18,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,33.0,8,7.0,1.0,2.0,1.0,1.0,2.0,2.0,,4.0,4.0,,,2.0,,4,0.105361020172533,1,1.0,,1,73,4,1,1,1,1,33.0,1,7,4,0.0,0.0,,,0.0,0.0,0.0,,2,2,411,1,,20.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,,150.0,35.0,100.0,6.0,5.0,150.0,35.0,100.0,6.0,100.0,0.0,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,6.81818181818182,6.81818181818182,0.0,,,,,,,,20,,,6.0,,,6.0,,,,,1,0.18738201076332997
23015001038300002,23,1,50,1,3830,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,140.0,6,6.0,,1.0,1.0,,2.0,2.0,,3.0,3.0,,1.0,,,4,0.135633219541818,1,1.0,,1,70,3,3,0,1,1,140.0,1,9,4,0.0,0.0,,,0.0,1.0,0.0,,1,1,411,1,,15.0,3.0,3.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,,1920.0,35.0,100.0,6.0,7.0,1920.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,,,,15.0,2.0,2.0,,,,,,,3.0,,,411,1.0,,,4,87.2727272727273,87.2727272727273,0.0,,,,,,,,15,,40.0,,,40.0,,,,,40.0,1,0.4747162683963621
12065104000040019,12,6,51,4,4,19,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,20.0,5,5.0,,3.0,3.0,,,,,2.0,2.0,,,2.0,,4,0.166708681106508,1,1.0,,1,65,4,1,0,0,1,20.0,1,7,4,0.0,0.0,,,0.0,0.0,0.0,,1,1,411,1,,10.0,4.0,3.0,3.0,9.99,9.99,9.99,9.99,9.99,9.99,,200.0,35.0,100.0,6.0,5.0,200.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,9.09090909090909,9.09090909090909,0.0,,,,,,,,10,,9.99,,,,9.99,,,,,1,0.298236546661039
6105002000090003,6,10,50,2,9,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,212.0,1,,1.0,1.0,,1.0,,,,,,,1.0,,,4,0.18739650557663687,0,,2.0,0,82,5,2,0,1,1,212.0,1,10,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,411,2,1.0,5.0,4.0,4.0,2.0,28.0,28.0,10.0,10.0,5.0,5.0,4.0,200.0,35.0,100.0,6.0,2.0,200.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,2.0,3.0,,,,,,,1,1.0,2.0,3.0,1.0,2.0,3.0,2.0,,,,,,,,,,3.0,,,411,1.0,,,4,9.09090909090909,9.09090909090909,5.0,5.0,,,,5.0,,,5,28.0,,,,28.0,,,,28.0,28.0,0,0.8136297299901891
12065104000040012,12,6,51,4,4,12,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,26.0,3,3.0,,1.0,1.0,,,,,2.0,2.0,,,2.0,,4,0.190189146632577,1,1.0,,1,55,4,1,1,0,1,26.0,1,7,3,0.0,0.0,,,0.0,0.0,0.0,,1,1,411,1,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,60.0,35.0,100.0,6.0,5.0,60.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,2.7272727272727297,2.7272727272727297,0.0,,,,,,,,4,3.0,,,,,3.0,,,,,1,0.438383652771618
12065104000040020,12,6,51,4,4,20,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,15.0,2,2.0,,2.0,2.0,,,,,,,,,2.0,,4,0.19261460076705197,1,1.0,,1,51,4,1,0,0,0,15.0,1,6,3,0.0,0.0,,,0.0,0.0,0.0,,2,1,411,1,,5.0,3.0,3.0,3.0,0.99,0.99,0.99,0.99,0.99,0.99,,15.0,35.0,100.0,6.0,5.0,15.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.681818181818182,0.681818181818182,0.0,,,,,,,,5,0.99,,,,,0.99,,,,,1,1.3918584140798602
12065104000040027,12,6,51,4,4,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,40.5,2,1.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,,4,0.20113401536614198,1,1.0,,1,60,4,1,1,0,0,40.5,1,7,3,0.0,0.0,,,0.0,0.0,0.0,,2,1,411,1,,13.0,3.0,3.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,,46.0,35.0,100.0,6.0,2.0,46.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,1500.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,,,411,,2.0,,4,2.09090909090909,2.09090909090909,0.0,,,,,,,,13,,8.0,,,8.0,,,,8.0,,1,0.0683053744314495
12065104000040011,12,6,51,4,4,11,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,20.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,0.217793596022519,1,1.0,,1,55,4,2,0,0,0,20.0,1,7,3,0.0,0.0,,,0.0,0.0,0.0,,2,2,411,1,,7.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,36.0,35.0,100.0,6.0,2.0,36.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,1.6363636363636398,1.6363636363636398,0.0,,,,,,,,7,2.0,,,,,2.0,,,,,1,0.556242912168332
12085002068860012,12,8,50,2,6886,12,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,470.0,46,46.0,,1.0,1.0,,15.0,15.0,,30.0,30.0,,,2.0,,4,0.221618513095971,0,,99.0,1,70,5,3,0,1,1,470.0,1,10,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,411,1,,11.0,2.05,3.05,2.0,200.0,200.0,200.0,200.0,200.0,200.0,,7600.0,35.0,100.0,6.0,7.0,7600.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,200.0,200.0,,,70.0,,,30.0,1,0,,,,,,,1,180000.0,2.0,,,,,,,1,0.0,,,1.0,1200.0,5.0,3.0,,,,,,,,,,30.0,,,411,,2.0,,4,345.454545454545,345.454545454545,0.0,,,,,,,,11,,200.0,,,200.0,,,200.0,200.0,200.0,1,0.520803505775531
