Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin_cultivo,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,parametros_ventas,parametro_ventas,parametro_insumos
12085002069670021,12,8,50,2,6967,21,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,22,22.0,,2.0,2.0,,,,,20.0,20.0,,,2.0,,4,0.0482311073273786,0,,60.0,1,85,4,1,0,0,1,28.0,1,7,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,548,1,,1,3.0,6.0,20.0,10.0,28.0,28.0,28.0,28.0,,3640.0,35.0,100.0,2.0,2.0,3640.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,1,28.0,,100.0,,,,,1,0,,,,,,,1,16800.0,2.0,11200.0,2.0,,,,,1,0.0,,,1.0,28.0,5.0,3.0,7.0,5.0,3.0,6.0,5.0,3.0,,,,10.0,,1,28.0,28.0,6.0,1.0,548.0,,548.0,,2.0,,4.0,165.454545454545,0.0,,,,,,,,,,28.0,,,342.72727272727207,28.0,28.0,28.0,1,0.0482311073273787,1.0,1.0,1.0,0,6.120129870129858,1120.0
24015303001930003,24,1,53,3,193,3,0,,,,,,,,,,,,,,,,5200.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,0.0990084021221738,0,,99.0,1,53,4,2,1,1,1,5200.0,1,10,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,548,1,,1,3.0,1.0,20.0,8.0,120.0,120.0,120.0,120.0,,10800.0,35.0,100.0,2.0,2.0,10800.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,1,120.0,,,,100.0,,,1,0,,,,,,,1,50.0,2.0,,,,,,,1,0.0,,,1.0,50.0,5.0,3.0,50.0,5.0,3.0,,,,,,,,,1,120.0,120.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,490.9090909090911,0.0,,,,,,,,,,120.0,,,490.9090909090911,120.0,120.0,120.0,1,2.04731482066658,0.0,0.0,0.0,0,4.090909090909093,6.25
12085002082940005,12,8,50,2,8294,5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,15,15.0,,5.0,5.0,,,,,10.0,10.0,,,2.0,,4,0.100166669220186,0,,0.1,1,46,3,2,0,0,0,16.0,1,6,3,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1,1,548,1,,1,3.0,1.0,20.0,6.0,1.0,1.0,1.0,1.0,,60.0,35.0,100.0,2.0,2.0,60.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,5,0,,,,,,,,1,0,,,,,,,1,,,250.0,2.0,,,,,1,0.0,,,1.0,1.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,1,1.0,1.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,2.7272727272727297,0.0,,,,,,,,,,1.0,,,2.7272727272727297,,1.0,1.0,1,1.60266670752297,1.0,1.0,,0,2.7272727272727297,0.0
12075404000020004,12,7,54,4,2,4,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,4,4.0,,1.0,1.0,,,,,3.0,3.0,,,2.0,,4,0.152810234076958,0,,99.0,1,31,4,3,0,1,1,50.0,1,8,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,548,1,,1,4.0,12.0,19.0,5.0,50.0,50.0,50.0,50.0,,7000.0,35.0,100.0,2.0,6.0,7000.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,7500.0,2.0,15600.0,2.0,,,,,1,0.0,,,1.0,,,,50.0,5.0,2.0,,,,,,,3.0,,1,50.0,50.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,318.181818181818,0.0,,,,,,,,,,,50.0,,318.181818181818,,50.0,50.0,1,0.152810234076958,,,1.0,0,6.363636363636361,1500.0
12085002087000001,12,8,50,2,8700,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,0.219531211701665,0,,2.0,1,55,3,1,0,0,0,4.0,1,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,548,1,,1,2.0,1.0,20.0,6.0,4.0,4.0,4.0,4.0,,280.0,35.0,100.0,2.0,6.0,280.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,200.0,2.0,200.0,2.0,,,,,1,0.0,,,1.0,8.0,5.0,3.0,,,,,,,,,,4.0,,1,4.0,4.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,12.727272727272696,0.0,,,,,,,,,4.0,,,,12.727272727272696,,4.0,4.0,1,0.219531211701665,1.0,1.0,1.0,0,3.181818181818174,33.333333333333336
12075404000020028,12,7,54,4,2,28,0,,,,,,,,,,,,,,,,15.0,7,7.0,,1.0,1.0,,,,,6.0,6.0,,,2.0,,4,0.219696636197625,1,1.0,,1,48,4,7,1,1,1,15.0,1,6,3,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1,1,548,1,,1,1.0,4.0,20.0,7.0,15.0,15.0,15.0,15.0,,1725.0,35.0,100.0,2.0,6.0,1725.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,4535.923699688862,3.0,,,,,,,1,0.0,,,1.0,50.0,5.0,2.0,,,,,,,,,,6.0,,1,15.0,15.0,2.0,1.0,548.0,,548.0,,2.0,,4.0,78.4090909090909,0.0,,,,,,,,15.0,,,,,78.4090909090909,,15.0,15.0,1,0.219696636197625,0.0,0.0,0.0,0,5.2272727272727275,29392.29115628442
12075404000020036,12,7,54,4,2,36,0,,,,,,,,,,,,,,,,5.5,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,0.2324912091814389,0,,99.0,1,55,4,2,0,0,0,5.5,1,5,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2,548,1,,0,3.0,5.0,20.0,9.0,2.5,2.5,2.5,2.5,,180.0,35.0,100.0,2.0,1.0,180.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,0,0,,,,,,,0,0.0,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,1.0,1,1.0,1.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,8.18181818181818,0.0,,,,,,,,,,2.5,,,19.545454545454586,,,,1,0.2324912091814389,0.0,0.0,0.0,0,3.5537190082644696,0.0
12035002137630006,12,3,50,2,13763,6,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.69,10,10.0,,3.0,3.0,,,,,7.0,7.0,,,2.0,,4,0.32560343727609303,0,,2.0,1,58,3,2,0,1,1,36.69,1,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,548,1,,1,3.0,6.0,20.0,11.0,2.0,2.0,2.0,2.0,,30.0,35.0,100.0,2.0,6.0,30.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,4.0,5.0,16.0,5.0,,,,,1,0.0,,,1.0,3.0,5.0,3.0,3.0,5.0,3.0,,,,,,,,,1,2.0,2.0,6.0,1.0,548.0,,548.0,,2.0,,4.0,1.3636363636363602,0.0,,,,,,,,,,2.0,,,1.3636363636363602,,2.0,2.0,1,5.97319505682993,1.0,1.0,1.0,0,0.6818181818181801,0.36363636363636365
24015003001590002,24,1,50,3,159,2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,120.0,21,20.0,1.0,1.0,,1.0,20.0,20.0,,,,,,2.0,,4,0.327414560171681,0,,30.0,0,83,4,2,0,1,1,120.0,1,9,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,548,1,,1,3.0,7.0,20.0,11.0,55.0,55.0,55.0,55.0,,4950.0,35.0,100.0,2.0,2.0,4950.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,1,55.0,,100.0,,,,,1,0,,,,,,,1,440.0,5.0,,,,,,,1,0.0,,,1.0,27.5,5.0,4.0,66.0,5.0,3.0,,,,,,,,,1,55.0,55.0,7.0,1.0,548.0,,548.0,,2.0,,4.0,225.0,0.0,,,,,,,,,,55.0,,,500.0,55.0,55.0,55.0,1,0.7143590403745771,1.0,,,0,4.545454545454546,27.5
12075404000020014,12,7,54,4,2,14,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,17,17.0,,1.0,1.0,,,,,16.0,16.0,,,2.0,,4,0.41148803863030897,0,,1.0,1,78,4,1,1,0,0,3.5,1,4,4,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1,1,548,1,,1,1.0,1.0,20.0,5.0,2.0,2.0,2.0,2.0,,115.0,35.0,100.0,2.0,2.0,115.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,272.1554219813317,3.0,6.0,3.0,,,,,1,0.0,,,1.0,4.0,5.0,5.0,,,,,,,,,,8.0,,1,2.0,2.0,1.0,1.0,548.0,,548.0,,2.0,,4.0,5.22727272727273,0.0,,,,,,,,2.0,,,,,5.22727272727273,,2.0,2.0,1,0.7201040676030409,1.0,1.0,1.0,0,2.613636363636365,2468.952457127891
