Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,cp_k409ha,cp_k411ha,cp_afecta_prod,cp_riego,cp_aferti,ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,cp_prod,cp_cantidad_npk_fq
12075404000020009,54,0.0,0.0,,,0.0,1,58,1,8,1.49,1.49,2.0,0,0,1.6363636363636398,0.0,0.0,0.0,1.6363636363636398,
12065104000040018,51,0.0,0.0,,,0.0,1,73,1,8,6.0,6.0,5.0,0,0,6.81818181818182,0.0,0.0,0.0,6.81818181818182,
13035102130930012,51,0.0,0.0,,,0.0,1,48,2,4,0.5,,,0,0,,1.0,1.0,1.0,,
23015001038300002,50,0.0,0.0,,,0.0,1,70,3,6,40.0,40.0,7.0,0,0,87.2727272727273,,1.0,,87.2727272727273,
12065104000040019,51,0.0,0.0,,,0.0,1,65,1,5,9.99,9.99,5.0,0,0,9.09090909090909,0.0,0.0,0.0,9.09090909090909,
6105002000090003,50,1.0,1.0,0.0,0.0,0.0,0,82,2,1,28.0,5.0,2.0,0,1,9.09090909090909,1.0,1.0,1.0,9.09090909090909,2.0
12065104000040012,51,0.0,0.0,,,0.0,1,55,1,3,3.0,3.0,5.0,0,0,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,
12065104000040020,51,0.0,0.0,,,0.0,1,51,1,2,0.99,0.99,5.0,0,0,0.681818181818182,0.0,0.0,0.0,0.681818181818182,
12065104000040027,51,0.0,0.0,,,0.0,1,60,1,2,8.0,8.0,2.0,0,1,2.09090909090909,1.0,1.0,1.0,2.09090909090909,1500.0
12065104000040011,51,0.0,0.0,,,0.0,1,55,2,1,2.0,2.0,2.0,0,0,1.6363636363636398,0.0,0.0,0.0,1.6363636363636398,
12085002068860012,50,0.0,0.0,1.0,0.0,1.0,1,70,3,46,200.0,200.0,7.0,1,1,345.454545454545,0.0,0.0,0.0,345.454545454545,180000.0
12065104000040016,51,0.0,0.0,,,0.0,1,43,1,1,3.528,3.528,5.0,0,0,1.81818181818182,0.0,0.0,0.0,1.81818181818182,
9115102138240018,51,0.0,0.0,,,1.0,1,48,3,51,330.0,330.0,7.0,1,1,613.636363636364,,1.0,1.0,613.636363636364,990.0
12115001004450002,50,0.0,0.0,,,0.0,1,65,3,2,1.0,1.0,7.0,0,0,1.81818181818182,1.0,1.0,1.0,1.81818181818182,
6105002000420001,50,0.0,0.0,,,0.0,1,67,1,2,6.0,2.0,2.0,0,1,1.6363636363636398,0.0,0.0,0.0,1.6363636363636398,2.0
12065104000040003,51,0.0,0.0,,,0.0,1,64,1,1,1.99,1.99,7.0,0,0,0.363636363636364,0.0,0.0,0.0,0.363636363636364,
