Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
9205002083060005,50,0.0,0.0,1.0,0.0,0.0,1,43,2,2,12.0,60.0,1.0,1,1,400.0,0.0,0.0,0.0,400.0,7500.0
9205002083060005,50,0.0,0.0,1.0,0.0,0.0,1,43,2,2,7.0,90.0,1.0,1,1,390.0,0.0,0.0,0.0,390.0,6000.0
9065202067080004,52,0.0,0.0,1.0,0.0,0.0,1,57,6,8,10.0,8.4672,2.0,1,1,36.0,1.0,1.0,1.0,36.0,1400.0
12035002137630006,50,0.0,0.0,0.0,0.0,0.0,1,58,2,10,5.0,2.0,6.0,0,1,1.3636363636363602,1.0,1.0,1.0,1.3636363636363602,4.0
9115402133430004,54,0.0,0.0,1.0,0.0,0.0,1,33,1,2,8.0,2.0,2.0,1,1,7.63636363636364,0.0,0.0,0.0,7.63636363636364,3.0
9115402135040002,54,0.0,0.0,1.0,0.0,0.0,1,50,3,82,4.0,70.0,1.0,1,1,334.090909090909,0.0,0.0,0.0,334.090909090909,280.0
9115402135040002,54,0.0,0.0,1.0,0.0,0.0,1,50,3,82,,,,0,0,,0.0,0.0,0.0,,
9065402057780008,54,0.0,0.0,1.0,0.0,0.0,1,42,1,1,12.0,16.0,2.0,1,1,68.7272727272727,0.0,0.0,0.0,68.7272727272727,3000.0
9065402057780008,54,0.0,0.0,1.0,0.0,0.0,1,42,1,1,6.0,16.0,2.0,1,1,57.2727272727273,0.0,0.0,0.0,57.2727272727273,3000.0
9205002084990007,50,0.0,0.0,1.0,0.0,0.0,0,45,2,5,5.0,15.0,2.0,1,1,60.0,1.0,1.0,1.0,60.0,2.0
9205502094640005,55,0.0,0.0,1.0,0.0,0.0,0,60,1,5,10.0,3.75,1.0,1,1,10.5,,1.0,,10.5,250.0
9205502094640005,55,0.0,0.0,1.0,0.0,0.0,0,60,1,5,5.0,1.75,3.0,1,1,7.1,,1.0,,7.1,100.0
