Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
9205002083060005,50,0.0,0.0,1.0,0.0,0.0,1,43,2,2,19.0,150.0,1.0,1,1,790.0,0.0,0.0,0.0,790.0,13500.0
9065202067080004,52,0.0,0.0,1.0,0.0,0.0,1,57,6,8,10.0,8.4672,2.0,1,1,36.0,1.0,1.0,1.0,36.0,1400.0
12035002137630006,50,0.0,0.0,0.0,0.0,0.0,1,58,2,10,5.0,2.0,6.0,0,1,1.3636363636363602,1.0,1.0,1.0,1.3636363636363602,4.0
9115402133430004,54,0.0,0.0,1.0,0.0,0.0,1,33,1,2,8.0,2.0,2.0,1,1,7.63636363636364,0.0,0.0,0.0,7.63636363636364,3.0
9115402135040002,54,0.0,0.0,1.0,0.0,0.0,1,50,3,82,4.0,70.0,1.0,1,1,334.090909090909,0.0,0.0,0.0,334.090909090909,280.0
9065402057780008,54,0.0,0.0,1.0,0.0,0.0,1,42,1,1,18.0,32.0,2.0,1,1,126.0,0.0,0.0,0.0,126.0,6000.0
9205002084990007,50,0.0,0.0,1.0,0.0,0.0,0,45,2,5,5.0,15.0,2.0,1,1,60.0,1.0,1.0,1.0,60.0,2.0
9205502094640005,55,0.0,0.0,1.0,0.0,0.0,0,60,1,5,15.0,5.5,1.0,1,1,17.6,,1.0,,17.6,350.0
9055051000993418,50,0.0,0.0,1.0,0.0,1.0,1,99,2,18,16.0,121.94,2.0,1,0,318.181818181818,0.0,0.0,0.0,318.181818181818,350.0
3045251000993377,52,1.0,0.0,0.0,0.0,0.0,1,49,1,11,18.0,460.0,6.0,1,1,2022.9545454545398,1.0,1.0,1.0,2022.9545454545398,1840.0
3045251000993417,52,1.0,0.0,0.0,0.0,0.0,1,34,2,11,18.0,460.0,6.0,1,1,2022.9545454545398,1.0,1.0,1.0,2022.9545454545398,1840.0
9025051000993352,50,0.0,0.0,1.0,0.0,0.0,1,64,2,7,10.0,49.0,1.0,1,1,147.0,,,,147.0,0.0
9025051000993383,50,0.0,0.0,0.0,0.0,0.0,1,45,3,24,18.0,159.0,2.0,1,1,772.727272727273,,1.0,1.0,772.727272727273,86710.0
9045055000993978,50,0.0,0.0,0.0,0.0,0.0,1,56,3,2,14.0,4.0,2.0,1,1,8.636363636363633,0.0,0.0,0.0,8.636363636363633,24.0
9045061000992458,50,0.0,0.0,,0.0,0.0,1,59,2,7,11.0,9.0,2.0,1,1,40.9090909090909,0.0,0.0,0.0,40.9090909090909,18.0
9045061000992500,50,0.0,0.0,1.0,0.0,1.0,1,60,3,7,15.0,30.0,2.0,1,1,81.8181818181818,0.0,0.0,0.0,81.8181818181818,120.0
9045061000992591,50,0.0,0.0,,0.0,1.0,1,57,2,2,7.0,2.0,5.0,1,1,9.09090909090909,0.0,0.0,0.0,9.09090909090909,1.0
9045061000992885,50,0.0,0.0,,0.0,1.0,1,71,2,6,5.0,12.0,2.0,1,1,32.7272727272727,0.0,0.0,0.0,32.7272727272727,4.0
9055061000992830,50,0.0,0.0,,0.0,1.0,1,39,3,3,14.0,60.0,1.0,1,1,136.3636363636364,0.0,0.0,0.0,136.3636363636364,60.0
9055064000990954,50,0.0,0.0,,0.0,1.0,1,99,3,42,16.0,180.0,2.0,1,1,409.09090909091003,0.0,0.0,0.0,409.09090909091003,720.0
9065051000993341,50,0.0,0.0,1.0,0.0,0.0,1,65,2,1,19.0,600.0,6.0,1,1,3300.0,0.0,0.0,0.0,3300.0,270000.0
9065051000993374,50,0.0,0.0,1.0,0.0,0.0,0,45,2,3,13.0,348.0,2.0,1,1,1540.295454545454,1.0,,,1540.295454545454,34800.0
9065051000993396,50,0.0,0.0,1.0,0.0,0.0,1,52,3,3,7.0,70.0,1.0,0,1,385.0,0.0,0.0,0.0,385.0,3150.0
9065451000993391,54,0.0,0.0,1.0,0.0,0.0,1,99,3,4,8.0,149.0,6.0,0,1,825.0,0.0,0.0,0.0,825.0,0.0
9065662000990362,56,0.0,0.0,1.0,0.0,0.0,1,56,1,3,8.0,10.0,2.0,1,1,36.363636363636395,0.0,0.0,0.0,36.363636363636395,0.0
9085061000992498,50,0.0,0.0,0.0,0.0,0.0,1,46,2,6,10.0,3.0,6.0,0,1,7.72727272727273,0.0,0.0,0.0,9.09090909090909,3.0
9095051000993406,50,0.0,0.0,0.0,0.0,1.0,1,99,2,119,7.0,112.98,2.0,1,1,534.5454545454551,0.0,0.0,0.0,534.5454545454551,675.0
9115451000993333,54,0.0,0.0,1.0,0.0,1.0,1,48,1,6,18.0,200.0,6.0,1,1,1040.454545454546,0.0,0.0,0.0,1050.0,20000.0
9115451000993347,54,0.0,0.0,1.0,0.0,1.0,0,58,2,8,19.0,56.0,6.0,1,1,312.727272727272,,,,320.54545454545405,6160.0
