Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
12085002069670021,50,0.0,0.0,0.0,0.0,0.0,1,85,1,22,15.0,56.0,2.0,1,1,342.72727272727207,1.0,1.0,1.0,343.63636363636306,16800.0
24015303001930003,53,0.0,0.0,0.0,0.0,0.0,1,53,2,1,8.0,120.0,2.0,1,1,490.9090909090911,0.0,0.0,0.0,490.9090909090911,50.0
12085002082940005,50,0.0,0.0,,0.0,0.0,1,46,2,15,6.0,1.0,2.0,0,1,2.7272727272727297,1.0,1.0,,2.7272727272727297,0.0
12075404000020004,54,0.0,0.0,1.0,0.0,0.0,1,31,3,4,5.0,50.0,6.0,0,1,318.181818181818,,,1.0,318.181818181818,7500.0
12085002087000001,50,0.0,0.0,0.0,0.0,0.0,1,55,1,1,6.0,4.0,6.0,0,1,12.727272727272696,1.0,1.0,1.0,12.727272727272696,200.0
12075404000020028,54,0.0,0.0,,0.0,0.0,1,48,7,7,7.0,15.0,6.0,0,1,78.4090909090909,0.0,0.0,0.0,78.4090909090909,100.0
12075404000020036,54,0.0,0.0,1.0,0.0,0.0,1,55,2,1,13.0,5.5,1.0,0,0,19.545454545454582,0.0,0.0,0.0,19.545454545454582,0.0
12035002137630006,50,0.0,0.0,0.0,0.0,0.0,1,58,2,10,11.0,2.0,6.0,0,1,1.3636363636363602,1.0,1.0,1.0,1.3636363636363602,4.0
24015003001590002,50,1.0,1.0,0.0,0.0,0.0,0,83,2,21,16.0,110.0,2.0,1,1,500.0,1.0,,,500.0,440.0
12075404000020014,54,0.0,0.0,,0.0,0.0,1,78,1,17,5.0,2.0,2.0,0,1,5.22727272727273,1.0,1.0,1.0,5.22727272727273,6.0
12075404000020037,54,0.0,0.0,1.0,0.0,0.0,0,80,1,3,9.0,14.0,2.0,0,1,57.2727272727273,0.0,0.0,0.0,57.2727272727273,0.0
12075404000020008,54,0.0,0.0,1.0,0.0,0.0,1,49,2,5,4.0,1.0,6.0,1,1,7.9545454545454515,0.0,0.0,0.0,7.9545454545454515,300.0
12085002092540001,50,0.0,0.0,,0.0,0.0,1,83,1,6,15.0,2.8224,6.0,1,1,10.18181818181818,0.0,0.0,0.0,10.454545454545459,200.0
12075404000020018,54,0.0,0.0,1.0,0.0,0.0,1,40,2,2,10.0,5.99,1.0,0,1,38.6363636363636,0.0,0.0,0.0,38.6363636363636,0.0
11095001098520002,50,0.0,0.0,0.0,0.0,0.0,0,53,1,1,7.0,2.0,6.0,0,1,9.09090909090909,1.0,1.0,1.0,12.727272727272696,12.0
11015601155400005,56,0.0,0.0,,0.0,0.0,0,42,1,1,12.0,0.45,1.0,0,0,0.27272727272727254,1.0,,,0.31818181818181795,0.0
12075404000020035,54,0.0,0.0,,0.0,0.0,1,54,1,1,9.0,7.5,2.0,0,1,27.2727272727273,0.0,0.0,0.0,27.2727272727273,0.0
12075404000020049,54,0.0,0.0,,0.0,0.0,0,33,2,2,4.0,20.0,6.0,0,1,104.545454545455,0.0,0.0,0.0,104.545454545455,7350.0
12075404000020054,54,0.0,0.0,1.0,1.0,0.0,1,77,1,4,4.0,30.0,1.0,0,0,54.545454545454504,0.0,0.0,0.0,54.545454545454504,0.0
12075404000020025,54,0.0,0.0,,0.0,1.0,1,71,2,3,7.0,16.0,6.0,0,0,10.909090909090901,0.0,0.0,0.0,10.909090909090901,0.0
12075404000020017,54,0.0,0.0,,0.0,1.0,1,73,1,11,6.0,1.5,2.0,0,1,6.36363636363636,,,,6.36363636363636,2.0
12075404000020024,54,0.0,0.0,,0.0,0.0,0,64,7,1,10.0,0.99,2.0,0,1,0.681818181818182,0.0,0.0,0.0,0.681818181818182,0.0
12115002021980002,50,0.0,0.0,0.0,0.0,0.0,1,73,1,3,13.0,4.0,6.0,0,1,15.45454545454546,0.0,0.0,0.0,15.45454545454546,0.0
2045004000170007,50,0.0,0.0,1.0,0.0,0.0,1,47,3,23,5.0,54.33,6.0,0,1,248.363636363636,0.0,0.0,0.0,248.363636363636,8100.0
13035702143610003,57,0.0,0.0,,0.0,0.0,0,30,2,49,6.0,25.0,1.0,0,1,79.4090909090909,1.0,,1.0,79.4090909090909,5000.0
12115002016650002,50,0.0,0.0,1.0,0.0,0.0,1,68,2,22,13.0,408.0,5.0,0,1,2336.363636363636,0.0,0.0,0.0,2336.363636363636,71400.0
12085002069590007,50,0.0,0.0,0.0,0.0,0.0,0,58,1,5,16.0,12.0,2.0,1,1,46.136363636363605,,1.0,1.0,46.3636363636363,1800.0
9015255000993982,52,0.0,0.0,1.0,0.0,0.0,0,76,1,23,6.0,20.0,1.0,0,1,145.454545454545,,,1.0,145.454545454545,6000.0
9015055000993980,50,0.0,0.0,,0.0,0.0,1,99,3,5,6.0,6.0,6.0,0,1,36.363636363636395,0.0,0.0,0.0,36.363636363636395,1600.0
9015057000992278,50,0.0,0.0,,0.0,0.0,1,60,2,10,7.0,10.0,6.0,1,1,25.0,0.0,0.0,0.0,25.0,2000.0
9015062000990565,50,0.0,0.0,,0.0,0.0,1,62,2,3,8.0,6.0,1.0,1,1,16.363636363636402,0.0,0.0,0.0,16.363636363636402,1200.0
9015064000990973,50,0.0,0.0,,0.0,0.0,1,99,3,7,8.0,10.0,6.0,1,1,36.363636363636395,,1.0,1.0,36.363636363636395,2000.0
9015355000994000,53,0.0,0.0,,0.0,0.0,1,63,2,9,7.0,150.0,6.0,1,1,409.09090909090895,,1.0,1.0,409.09090909090895,3000.0
9045055000993978,50,0.0,0.0,0.0,0.0,0.0,1,56,3,2,12.0,2.0,2.0,0,0,9.09090909090909,0.0,0.0,0.0,9.09090909090909,0.0
9045061000992458,50,0.0,0.0,,0.0,0.0,1,59,2,7,11.0,3.0,2.0,0,1,20.4545454545455,0.0,0.0,0.0,20.4545454545455,6.0
