Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;ec19_actafec;ec19_dadinsu;ec19_dconmob;ec19_dtraterre;ec19_dofretrab;ec19_pveprfalt;ec19_pveprausc;ec19_accecred;ec19_recayamag;ec19_recayusgr;ec19_recayugc;ec19_recayugadm;ec19_recayugadp;ec19_recayuong;ec19_recayuotro;ec19_recayudesc
17035101244110005;17;03;51;01;24411;0005;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2; 
14015301033850001;14;01;53;01;03385;0001;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2; 
17015401048900003;17;01;54;01;04890;0003;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09115404002530004;09;11;54;04;00253;0004;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
17035101247370001;17;03;51;01;24737;0001;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2; 
17085001024540002;17;08;50;01;02454;0002;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2; 
04015001014270001;04;01;50;01;01427;0001;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
03045001037080008;03;04;50;01;03708;0008;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
04055301066190002;04;05;53;01;06619;0002;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2; 
02015901020780002;02;01;59;01;02078;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
21045002035630003;21;04;50;02;03563;0003;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2; 
02055401127440011;02;05;54;01;12744;0011;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2; 
09125002088720013;09;12;50;02;08872;0013;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11045701159270002;11;04;57;01;15927;0002;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2; 
10065501052800001;10;06;55;01;05280;0001;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2; 
17018101033370002;17;01;81;01;03337;0002;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2; 
02055301145720002;02;05;53;01;14572;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
