Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;cg_vive_predio_pr;cg_terredensm;cg_dista_pre_viv;cg_k100;cg_k101;cg_se_define;cg_k102;cg_segsoccam;cg_accesocomp;cg_accesointer;cg_superficie;cg_unidadmedida;grupo1;edad_rango
01015101086210001;01;01;51;01;08621;0001;1;1; ;1;52;4;1;2;2;2;,71;1;1;3
01015101086210002;01;01;51;01;08621;0002;2; ;1;2;73;4;1;2;2;2;1,13;1;2;4
01015101086210003;01;01;51;01;08621;0003;2; ;20;2;60;4;1;2;1;1;,62;1;1;3
01015101086210004;01;01;51;01;08621;0004;1;1; ;2;45;4;1;2;2;2;1,76;1;2;3
01015101086210005;01;01;51;01;08621;0005;1;1; ;2;53;4;1;2;2;2;1,36;1;2;3
01015101086210006;01;01;51;01;08621;0006;1;1; ;1;33;4;1;2;1;1;,32;1;1;2
01015101086210007;01;01;51;01;08621;0007;1;1; ;2;67;4;7;2;2;2;,86;1;1;4
01015101086210008;01;01;51;01;08621;0008;1;1; ;1;26;4;2;2;2;2;1,3;1;2;2
01015101086210009;01;01;51;01;08621;0009;1;1; ;1;39;4;3;2;1;2;1,47;1;2;2
01015101096190001;01;01;51;01;09619;0001;2; ;2;1;69;4;1;2;2;2;6;1;5;4
01015101096190002;01;01;51;01;09619;0002;2; ;2;2;64;4;1;2;2;2;2,25;1;3;4
01015101096190003;01;01;51;01;09619;0003;2; ;3;1;65;4;7;2;2;2;2;1;3;4
01015164000991174;01;01;51;64;00099;1174;1;1; ;1;60;4;2;2;1;1;700;3;1;3
01015164000991175;01;01;51;64;00099;1175;1;1; ;2;35;6;7;2;2;2;1,8;1;2;2
01015164000991176;01;01;51;64;00099;1176;1;1; ;2;51;4;1;2;1;1;2600;3;1;3
01015164000991177;01;01;51;64;00099;1177;1;1; ;2;67;4;7;2;1;1;4600;3;1;4
01015201145250001;01;01;52;01;14525;0001;1;1; ;1;99;4;1;2;2;2;3,52;1;4;6
01015201145250002;01;01;52;01;14525;0002;2; ;,5;2;82;4;1;2;2;2;1,25;1;2;5
01015201145250003;01;01;52;01;14525;0003;2; ;1;1;65;4;1;2;2;2;4,25;1;4;4
01015201145250004;01;01;52;01;14525;0004;2; ;1,5;2;74;4;1;2;2;2;3;1;4;4
01015201151540001;01;01;52;01;15154;0001;2; ;20;2;21;4;1;2;2;2;9,5;1;5;2
01015201151540002;01;01;52;01;15154;0002;1;1; ;2;27;4;2;2;2;2;1,04;1;2;2
01015201151540003;01;01;52;01;15154;0003;1;1; ;2;30;4;3;2;1;1;2;1;3;2
01015201151540004;01;01;52;01;15154;0004;1;1; ;1;49;4;2;2;2;2;1,5;1;2;3
01015201151549999;01;01;52;01;15154;9999;1;1; ;1;99;6;7;2;2;2;,21;1;1;6
01015201153250001;01;01;52;01;15325;0001;2; ;1;1;66;1;1;2;2;2;,78;1;1;4
01015201153250002;01;01;52;01;15325;0002;1;1; ;1;69;4;7;2;1;1;9,12;1;5;4
01015201153250003;01;01;52;01;15325;0003;2; ;1;1;99;4;1;2;2;1;10,58;1;6;6
01015201153259999;01;01;52;01;15325;9999;1;1; ;1;99;6;7;2;2;2;,32;1;1;6
01015201153260001;01;01;52;01;15326;0001;2; ;,3;1;99;4;1;2;2;1;10,58;1;6;6
01015201153260002;01;01;52;01;15326;0002;1;1; ;2;69;4;7;2;1;1;9,12;1;5;4
01015201153260003;01;01;52;01;15326;0003;2; ;1;1;66;1;2;2;2;2;4,28;1;4;4
01015201153269999;01;01;52;01;15326;9999;1;1; ;1;99;6;7;2;2;2;,03;1;1;6
01015201154500001;01;01;52;01;15450;0001;2; ;10;1;56;4;1;2;2;2;1,5;1;2;3
01015201154500002;01;01;52;01;15450;0002;2; ;10;1;50;4;1;2;2;2;9;1;5;3
01015201172360001;01;01;52;01;17236;0001;2; ;,4;1;65;1;1;1;2;2;13,25;1;6;4
01015201174960001;01;01;52;01;17496;0001;2; ;5;1;38;4;1;2;1;1;3,51;1;4;2
01015201174960002;01;01;52;01;17496;0002;2; ;300;1;62;4;1;2;1;1;2,75;1;3;4
01015201174960003;01;01;52;01;17496;0003;2; ;10;1;38;4;1;2;2;2;2,68;1;3;2
01015201174960004;01;01;52;01;17496;0004;2; ;5;1;65;4;1;2;2;2;3,26;1;4;4
01015201174960005;01;01;52;01;17496;0005;2; ;5;2;57;4;1;2;2;2;2,51;1;3;3
01015301073390001;01;01;53;01;07339;0001;2; ;,4;1;56;1;1;2;2;2;14;1;6;3
01015301073390002;01;01;53;01;07339;0002;2; ;8;1;32;4;2;2;1;1;5,15;1;5;2
01015301088600001;01;01;53;01;08860;0001;2; ;2;2;91;4;7;2;2;2;5,76;1;5;5
01015301088600002;01;01;53;01;08860;0002;2; ;20;1;35;4;1;2;2;2;7,26;1;5;2
01015301093680001;01;01;53;01;09368;0001;2; ;5;2;54;4;1;1;2;2;8,01;1;5;3
01015301093680002;01;01;53;01;09368;0002;2; ;2;1;80;4;1;2;2;2;6,01;1;5;4
01015301093720001;01;01;53;01;09372;0001;1;1; ;2;28;4;2;2;2;2;11,9;1;6;2
01015301093720002;01;01;53;01;09372;0002;2; ;15;2;63;4;1;2;2;1;12,3;1;6;4
01015403001650001;01;01;54;03;00165;0001;1;1; ;1;99;4;7;2;2;2;42708,4;1;10;6
01015403001650002;01;01;54;03;00165;0002;1;1; ;1;50;4;1;2;2;2;27,04;1;7;3
01015403001650003;01;01;54;03;00165;0003;2; ;15;1;95;4;1;2;2;1;59,7;1;8;5
01015403001650004;01;01;54;03;00165;0004;1;1; ;1;57;4;2;2;2;1;84,03;1;8;3
01015403001650005;01;01;54;03;00165;0005;1;1; ;1;34;4;2;2;2;2;50,04;1;8;2
01015403001650006;01;01;54;03;00165;0006;1;1; ;1;43;4;1;1;1;1;21,4;1;7;3
01015403001650007;01;01;54;03;00165;0007;2; ;20;1;52;4;1;2;2;2;16,03;1;6;3
01015403001659999;01;01;54;03;00165;9999;1;1; ;1;99;4;7;2;2;2;2,3;1;3;6
01015404000190001;01;01;54;04;00019;0001;1;1; ;1;99;6;7;2;2;2;42708,4;1;10;6
01015601057479999;01;01;56;01;05747;9999;1;1; ;1;99;4;7;2;2;2;500;1;10;6
01015601062970001;01;01;56;01;06297;0001;1;1; ;1;89;4;7;2;2;2;3,98;1;4;5
01015601062970002;01;01;56;01;06297;0002;2; ;1;2;99;4;7;2;2;2;,05;1;1;6
01015601062970003;01;01;56;01;06297;0003;1;1; ;1;51;4;1;2;1;1;,42;1;1;3
01015601062970004;01;01;56;01;06297;0004;1;1; ;1;99;4;2;2;1;1;5,51;1;5;6
01015601062970005;01;01;56;01;06297;0005;1;1; ;2;92;4;1;2;2;2;2,26;1;3;5
01015601062970006;01;01;56;01;06297;0006;1;1; ;2;53;1;1;2;1;1;,45;1;1;3
01015601062970007;01;01;56;01;06297;0007;1;1; ;2;65;4;7;2;2;2;,55;1;1;4
01015601062970008;01;01;56;01;06297;0008;1;1; ;2;99;4;7;2;2;2;,62;1;1;6
01015601062970009;01;01;56;01;06297;0009;1;1; ;1;99;4;7;2;2;2;,34;1;1;6
01015601062970010;01;01;56;01;06297;0010;1;1; ;2;50;4;1;2;2;1;,16;1;1;3
01015601062970011;01;01;56;01;06297;0011;1;1; ;2;34;4;1;2;2;1;,03;1;1;2
01015601062979999;01;01;56;01;06297;9999;1;1; ;1;99;4;7;2;2;2;,14;1;1;6
01015601063680001;01;01;56;01;06368;0001;2; ;1;1;99;4;7;2;2;2;,34;1;1;6
01015601063680002;01;01;56;01;06368;0002;2; ;1;2;99;4;7;2;2;2;,62;1;1;6
01015601063680003;01;01;56;01;06368;0003;2; ;1;2;65;4;7;2;2;1;,55;1;1;4
01015601063680004;01;01;56;01;06368;0004;1;1; ;1;99;4;2;2;1;1;5,51;1;5;6
01015601063680005;01;01;56;01;06368;0005;1;1; ;2;59;4;7;2;2;2;2,58;1;3;3
01015601063680006;01;01;56;01;06368;0006;1;1; ;2;26;4;7;2;2;2;,81;1;1;2
01015601063680007;01;01;56;01;06368;0007;1;1; ;2;57;4;1;2;1;1;,98;1;1;3
01015601063680008;01;01;56;01;06368;0008;1;1; ;2;37;4;1;2;1;1;,52;1;1;2
01015601063680009;01;01;56;01;06368;0009;1;1; ;1;47;4;3;2;1;1;,89;1;1;3
01015601063680010;01;01;56;01;06368;0010;1;1; ;2;40;4;7;2;1;1;2,5;1;3;2
01015601063689999;01;01;56;01;06368;9999;1;1; ;1;99;4;7;2;2;2;,12;1;1;6
01015701000570001;01;01;57;01;00057;0001;2; ;2;1;28;4;1;1;1;1;16,06;1;6;2
01015701000570002;01;01;57;01;00057;0002;2; ;2;2;76;4;7;1;2;2;6,81;1;5;4
01015701001670001;01;01;57;01;00167;0001;2; ;10;1;71;4;7;2;2;2;10,01;1;6;4
01015701001670002;01;01;57;01;00167;0002;2; ;10;2;64;4;7;2;2;2;20,01;1;7;4
01015701002470001;01;01;57;01;00247;0001;2; ;2;1;42;4;5;2;2;2;18,02;1;6;3
01015701002470002;01;01;57;01;00247;0002;2; ;1;1;60;4;2;1;2;2;4,02;1;4;3
01015701002470003;01;01;57;01;00247;0003;2; ;1;1;62;4;1;2;2;2;37,02;1;7;4
01015701003280001;01;01;57;01;00328;0001;2; ;2;1;55;4;1;2;2;2;5,01;1;5;3
01015701003280002;01;01;57;01;00328;0002;2; ;4;1;57;4;1;1;1;1;20,01;1;7;3
01015701004170001;01;01;57;01;00417;0001;2; ;2;1;67;4;1;2;2;2;12,01;1;6;4
01015701005090001;01;01;57;01;00509;0001;2; ;12;1;65;4;5;2;2;2;6,02;1;5;4
01015701005090002;01;01;57;01;00509;0002;1;1; ;2;70;4;1;2;2;2;6;1;5;4
01015701005700001;01;01;57;01;00570;0001;2; ;12;1;65;4;5;2;2;2;6,02;1;5;4
01015701005700002;01;01;57;01;00570;0002;2; ;3;1;37;4;1;2;2;2;18,01;1;6;2
01015701006740001;01;01;57;01;00674;0001;2; ;4;1;72;4;1;2;2;2;17;1;6;4
01015701007160001;01;01;57;01;00716;0001;2; ;5;1;48;4;4;2;2;2;135;1;9;3
01015701007480001;01;01;57;01;00748;0001;2; ;5;1;48;4;1;2;2;2;135;1;9;3
01015701008050001;01;01;57;01;00805;0001;2; ;6;1;60;4;1;2;2;2;63;1;8;3
01015701010240001;01;01;57;01;01024;0001;2; ;6;2;65;4;1;2;2;2;26;1;7;4
01015701011690001;01;01;57;01;01169;0001;2; ;99;1;99;6;7;2;2;2;25;1;7;6
01015701011699999;01;01;57;01;01169;9999;1;1; ;1;99;6;7;2;2;2;,01;1;1;6
01015701013040001;01;01;57;01;01304;0001;2; ;99;1;99;6;7;2;2;2;25;1;7;6
01015701013049999;01;01;57;01;01304;9999;1;1; ;1;99;6;7;2;2;2;,35;1;1;6
01015701013150001;01;01;57;01;01315;0001;2; ;1;2;30;4;1;2;2;2;90;1;8;2
01015701013570001;01;01;57;01;01357;0001;2; ;20;1;60;4;1;2;2;2;116;1;9;3
01015701014560001;01;01;57;01;01456;0001;1;1; ;2;40;4;1;2;2;2;15,02;1;6;2
01015701014560002;01;01;57;01;01456;0002;2; ;30;1;70;4;1;2;2;2;14;1;6;4
01015701014569999;01;01;57;01;01456;9999;1;1; ;1;99;6;7;2;2;2;,4;1;1;6
01015701016040001;01;01;57;01;01604;0001;1;1; ;1;62;4;1;2;2;2;115;1;9;4
01015701016530001;01;01;57;01;01653;0001;2; ;1;2;76;5;7;1;2;2;35,25;1;7;4
01015701018130001;01;01;57;01;01813;0001;2; ;3;2;54;4;1;2;2;2;8;1;5;3
01015701018130002;01;01;57;01;01813;0002;1;1; ;2;48;4;1;1;2;2;10,02;1;6;3
01015701018139999;01;01;57;01;01813;9999;1;1; ;1;99;6;7;2;2;2;,5;1;1;6
01015701021550001;01;01;57;01;02155;0001;2; ;80;1;53;4;2;2;1;1;250;1;10;3
01015701021750001;01;01;57;01;02175;0001;2; ;5;1;36;4;1;2;2;2;20;1;7;2
01015701023230001;01;01;57;01;02323;0001;2; ;,2;2;43;4;2;2;2;2;2;1;3;3
01015701023230002;01;01;57;01;02323;0002;2; ;2;2;62;4;1;2;2;2;35;1;7;4
01015701023560001;01;01;57;01;02356;0001;2; ;1;1;36;4;1;2;2;1;50,04;1;8;2
01015701025800001;01;01;57;01;02580;0001;2; ;80;1;57;4;1;2;2;2;30;1;7;3
01015701027780001;01;01;57;01;02778;0001;2; ;2;2;54;4;1;2;2;2;20;1;7;3
01015701032570001;01;01;57;01;03257;0001;2; ;4;1;70;4;1;1;2;2;45;1;7;4
01015701032579999;01;01;57;01;03257;9999;1;1; ;1;99;6;7;2;2;2;,09;1;1;6
01015701034340001;01;01;57;01;03434;0001;2; ;4;2;37;4;2;2;1;1;10,06;1;6;2
01015701034340002;01;01;57;01;03434;0002;1;1; ;2;45;4;1;2;2;2;1,71;1;2;3
01015701034340003;01;01;57;01;03434;0003;1;1; ;1;78;4;7;2;2;2;10;1;6;4
01015701034349999;01;01;57;01;03434;9999;1;1; ;2;99;6;7;2;2;2;,6;1;1;6
01015701044060001;01;01;57;01;04406;0001;2; ;,7;1;70;1;1;2;2;2;15,33;1;6;4
01015701049490001;01;01;57;01;04949;0001;2; ;1;1;52;4;1;1;2;2;29,52;1;7;3
01015701068490001;01;01;57;01;06849;0001;2; ;30;1;50;4;1;2;2;2;19,01;1;6;3
01015701068510001;01;01;57;01;06851;0001;2; ;300;1;50;4;1;2;2;2;19,01;1;6;3
01015701077200001;01;01;57;01;07720;0001;1;1; ;1;45;4;1;2;2;1;20,1;1;7;3
01015701077209999;01;01;57;01;07720;9999;1;1; ;1;99;6;7;2;2;2;,25;1;1;6
01015702000130001;01;01;57;02;00013;0001;1;1; ;1;58;4;1;2;1;1;22,03;1;7;3
01015702000130002;01;01;57;02;00013;0002;1;1; ;1;65;4;1;2;2;2;19,01;1;6;4
01015702000130003;01;01;57;02;00013;0003;1;1; ;1;56;4;1;1;1;1;30,08;1;7;3
01015702000130004;01;01;57;02;00013;0004;1;1; ;1;27;1;2;2;2;2;17,6;1;6;2
01015702000130005;01;01;57;02;00013;0005;1;1; ;2;34;1;1;2;1;1;2,01;1;3;2
01015702000139999;01;01;57;02;00013;9999;1;1; ;1;99;6;7;2;2;2;2;1;3;6
01015702000350001;01;01;57;02;00035;0001;2; ;1;1;48;4;5;2;2;2;1200,14;1;10;3
01015702000540001;01;01;57;02;00054;0001;2; ;1;1;36;4;1;2;2;2;37,02;1;7;2
01015702000720001;01;01;57;02;00072;0001;1;2;,2;1;60;4;1;2;2;2;6,8;1;5;3
01015702000720002;01;01;57;02;00072;0002;1;1; ;2;64;4;1;2;2;2;6,12;1;5;4
01015702000720003;01;01;57;02;00072;0003;2; ;,04;2;67;4;1;2;2;2;5,53;1;5;4
01015702000720004;01;01;57;02;00072;0004;1;1; ;1;62;3;1;1;2;2;5,37;1;5;4
01015702000720005;01;01;57;02;00072;0005;1;1; ;1;30;4;3;2;2;1;5,73;1;5;2
01015702000720006;01;01;57;02;00072;0006;1;2;,2;1;37;4;2;2;2;1;8,02;1;5;2
01015702000720007;01;01;57;02;00072;0007;2; ;,2;1;36;4;2;2;2;1;9,5;1;5;2
01015702000720008;01;01;57;02;00072;0008;1;1; ;1;43;4;1;1;2;1;9,5;1;5;3
01015702000720009;01;01;57;02;00072;0009;1;1; ;1;30;3;1;2;2;1;9,84;1;5;2
01015702000720010;01;01;57;02;00072;0010;2; ;,5;2;42;4;1;2;2;1;5;1;5;3
01015702000729999;01;01;57;02;00072;9999;1;1; ;1;99;6;7;2;2;2;,42;1;1;6
01015703000370001;01;01;57;03;00037;0001;2; ;2;1;49;4;1;1;2;2;128,01;1;9;3
01015703000370002;01;01;57;03;00037;0002;2; ;2;1;32;4;5;1;2;2;46,01;1;7;2
01015703002230001;01;01;57;03;00223;0001;1;1; ;1;60;4;1;2;2;2;23,29;1;7;3
01015703002230002;01;01;57;03;00223;0002;1;1; ;1;78;4;1;1;2;2;27,42;1;7;4
01015703002230003;01;01;57;03;00223;0003;2; ;2;1;46;4;2;1;1;1;403,2;1;10;3
01015703002230004;01;01;57;03;00223;0004;1;1; ;1;55;4;1;2;2;1;2,17;1;3;3
01015703002230005;01;01;57;03;00223;0005;1;1; ;2;62;4;1;2;2;2;10,56;1;6;4
01015703002230006;01;01;57;03;00223;0006;1;1; ;1;45;4;1;1;2;2;,95;1;1;3
01015703002230007;01;01;57;03;00223;0007;2; ;80;1;99;6;7;2;2;2;45,39;1;7;6
01015703002230008;01;01;57;03;00223;0008;2; ;60;2;26;4;1;2;2;2;24;1;7;2
01015703002230009;01;01;57;03;00223;0009;1;1; ;1;58;4;1;1;1;1;19,13;1;6;3
01015703002230010;01;01;57;03;00223;0010;2; ;3;1;34;4;2;1;2;2;,24;1;1;2
01015703002230011;01;01;57;03;00223;0011;1;1; ;2;33;4;2;1;2;1;,25;1;1;2
01015703002230012;01;01;57;03;00223;0012;1;1; ;1;47;4;1;2;2;1;,8;1;1;3
01015703002230013;01;01;57;03;00223;0013;1;1; ;2;80;4;1;1;2;2;8,01;1;5;4
01015703002230014;01;01;57;03;00223;0014;2; ;50;2;58;4;1;2;1;1;7;1;5;3
01015703002230015;01;01;57;03;00223;0015;1;1; ;1;31;4;1;2;2;2;10,5;1;6;2
01015703002230016;01;01;57;03;00223;0016;2; ;80;1;34;4;1;2;1;1;91,3;1;8;2
01015703002230017;01;01;57;03;00223;0017;1;1; ;1;51;5;1;2;2;1;11,5;1;6;3
01015703002230018;01;01;57;03;00223;0018;1;1; ;1;33;4;1;1;1;1;1;1;2;2
01015703002230019;01;01;57;03;00223;0019;1;1; ;1;99;6;7;2;2;2;1,27;1;2;6
01015703002239999;01;01;57;03;00223;9999;1;1; ;1;99;6;7;2;2;2;2,92;1;3;6
01015703002680001;01;01;57;03;00268;0001;1;1; ;1;52;4;1;2;2;2;200,02;1;10;3
01015704000300001;01;01;57;04;00030;0001;1;1; ;1;99;6;7;2;2;2;1050;1;10;6
01015754000994062;01;01;57;54;00099;4062;1;1; ;2;62;4;7;1;2;1;12;1;6;4
01015754000994070;01;01;57;54;00099;4070;1;1; ;1;70;4;7;2;2;2;32,5;1;7;4
01015754000994106;01;01;57;54;00099;4106;1;1; ;2;71;4;7;2;2;2;10;1;6;4
01015801070830001;01;01;58;01;07083;0001;1;1; ;1;55;4;1;2;2;2;,55;1;1;3
01015801070830002;01;01;58;01;07083;0002;2; ;10;2;51;4;1;1;2;1;,35;1;1;3
01015801070830003;01;01;58;01;07083;0003;2; ;55;1;65;4;3;2;2;1;6,62;1;5;4
01015801070830004;01;01;58;01;07083;0004;2; ;55;2;44;4;3;2;1;1;1,5;1;2;3
01015801070830005;01;01;58;01;07083;0005;1;1; ;2;61;4;7;2;2;2;,45;1;1;4
01015801070830006;01;01;58;01;07083;0006;1;1; ;1;56;4;1;2;2;2;3,01;1;4;3
01015801070830007;01;01;58;01;07083;0007;1;1; ;2;42;4;2;2;2;1;2;1;3;3
01015801070830008;01;01;58;01;07083;0008;2; ;32;1;57;4;3;2;2;2;,7;1;1;3
01015801070830009;01;01;58;01;07083;0009;2; ;35;1;60;4;3;2;1;1;,26;1;1;3
01015801070830010;01;01;58;01;07083;0010;1;1; ;1;60;4;1;2;2;2;1;1;2;3
01015801070839999;01;01;58;01;07083;9999;1;1; ;1;99;6;7;2;2;2;,25;1;1;6
01015801071650001;01;01;58;01;07165;0001;2; ;25;1;99;4;2;2;1;1;,3;1;1;6
01015801071650002;01;01;58;01;07165;0002;1;1; ;1;40;4;1;2;2;1;,15;1;1;2
01015801071650003;01;01;58;01;07165;0003;1;1; ;1;78;4;7;1;2;2;2;1;3;4
01015801071650004;01;01;58;01;07165;0004;1;1; ;2;33;4;7;2;2;1;,05;1;1;2
01015801071650005;01;01;58;01;07165;0005;1;1; ;1;41;4;2;2;2;2;,03;1;1;3
01015801071650006;01;01;58;01;07165;0006;1;1; ;2;21;4;1;2;2;1;,05;1;1;2
01015801071650007;01;01;58;01;07165;0007;1;1; ;2;35;4;1;2;2;2;,1;1;1;2
01015801071650008;01;01;58;01;07165;0008;1;1; ;1;44;4;1;2;1;1;,1;1;1;3
01015801071650009;01;01;58;01;07165;0009;2; ;5;2;70;4;7;1;2;2;,15;1;1;4
01015801071650010;01;01;58;01;07165;0010;2; ;2;1;57;4;3;2;2;2;5;1;5;3
01015801071650011;01;01;58;01;07165;0011;1;1; ;1;45;4;3;2;1;1;,6;1;1;3
01015801071650012;01;01;58;01;07165;0012;2; ;6;2;80;4;1;2;2;2;1,52;1;2;4
01015801071650013;01;01;58;01;07165;0013;1;1; ;2;42;4;2;2;1;1;,13;1;1;3
01015801071650014;01;01;58;01;07165;0014;1;1; ;2;33;4;1;2;1;1;,5;1;1;2
01015801071650015;01;01;58;01;07165;0015;1;1; ;2;38;4;1;2;1;2;,05;1;1;2
01015801071650016;01;01;58;01;07165;0016;1;1; ;2;85;4;7;2;2;2;,44;1;1;5
01015801071650017;01;01;58;01;07165;0017;2; ;1;1;67;4;1;2;1;1;3;1;4;4
01015801071650018;01;01;58;01;07165;0018;1;1; ;2;75;4;7;2;1;1;,24;1;1;4
01015801071650019;01;01;58;01;07165;0019;1;1; ;1;46;4;2;1;2;1;,26;1;1;3
01015801071650020;01;01;58;01;07165;0020;1;1; ;2;51;4;1;2;1;1;,2;1;1;3
01015801071659999;01;01;58;01;07165;9999;1;1; ;1;99;6;7;2;2;2;,25;1;1;6
01015801077640001;01;01;58;01;07764;0001;2; ;1,5;1;72;4;1;1;2;1;3,29;1;4;4
01015801077640002;01;01;58;01;07764;0002;2; ;1;1;75;4;7;2;2;2;1,07;1;2;4
01015801077640003;01;01;58;01;07764;0003;2; ;1;2;42;1;1;2;2;1;,73;1;1;3
01015801077640004;01;01;58;01;07764;0004;2; ;1;1;28;4;1;1;2;1;,61;1;1;2
01015801077640005;01;01;58;01;07764;0005;1;1; ;1;54;4;2;1;1;1;,88;1;1;3
01015801077640006;01;01;58;01;07764;0006;1;1; ;1;49;4;5;2;2;2;12,02;1;6;3
01015801077649999;01;01;58;01;07764;9999;1;1; ;1;99;6;7;2;2;2;,22;1;1;6
01015801078400001;01;01;58;01;07840;0001;2; ;1;1;40;4;1;2;2;2;7,39;1;5;2
01015801078400002;01;01;58;01;07840;0002;1;1; ;1;31;4;3;2;1;1;2,28;1;3;2
01015801078400003;01;01;58;01;07840;0003;1;1; ;1;49;4;5;2;2;2;12,02;1;6;3
01015864000991212;01;01;58;64;00099;1212;1;1; ;2;40;4;2;2;1;1;1100;3;1;2
01015864000991217;01;01;58;64;00099;1217;1;1; ;1;51;4;2;2;2;2;2000;3;1;3
01015901037520001;01;01;59;01;03752;0001;2; ;20;1;99;4;1;2;1;1;2;1;3;6
01015901037520002;01;01;59;01;03752;0002;1;1; ;1;56;4;1;2;2;2;1;1;2;3
01015901037520003;01;01;59;01;03752;0003;2; ;25;1;60;4;2;2;2;2;1,67;1;2;3
01015901037520004;01;01;59;01;03752;0004;1;1; ;1;99;4;3;2;1;2;6,5;1;5;6
01015901037520005;01;01;59;01;03752;0005;1;1; ;2;54;4;1;2;2;2;1;1;2;3
01015901037520006;01;01;59;01;03752;0006;1;1; ;2;75;4;1;1;2;2;1;1;2;4
01015901037520007;01;01;59;01;03752;0007;1;1; ;2;31;4;1;1;1;1;2;1;3;2
01015901037520008;01;01;59;01;03752;0008;2; ;2;2;30;4;2;2;1;1;1,41;1;2;2
01015901037529999;01;01;59;01;03752;9999;1;1; ;1;99;4;7;2;2;2;,25;1;1;6
01015901037980001;01;01;59;01;03798;0001;2; ;10;1;87;4;7;1;2;2;2,5;1;3;5
01015901037980002;01;01;59;01;03798;0002;1;1; ;1;67;4;7;2;2;2;1;1;2;4
01015901037980003;01;01;59;01;03798;0003;1;1; ;2;29;4;2;2;2;2;1,39;1;2;2
01015901037980004;01;01;59;01;03798;0004;1;1; ;2;58;4;1;2;1;1;1,55;1;2;3
01015901037980005;01;01;59;01;03798;0005;1;1; ;2;44;4;1;2;2;1;,07;1;1;3
01015901037980006;01;01;59;01;03798;0006;1;1; ;2;30;4;2;2;1;1;1,7;1;2;2
01015901037980007;01;01;59;01;03798;0007;1;1; ;2;85;4;7;2;2;2;,4;1;1;5
01015901037980008;01;01;59;01;03798;0008;1;1; ;2;70;4;7;1;2;2;,43;1;1;4
01015901037980009;01;01;59;01;03798;0009;1;1; ;2;78;4;7;1;2;2;1,01;1;2;4
01015901037980010;01;01;59;01;03798;0010;1;1; ;2;74;4;7;2;2;1;,35;1;1;4
01015901037980011;01;01;59;01;03798;0011;1;1; ;2;68;4;7;2;2;2;,47;1;1;4
01015901037980012;01;01;59;01;03798;0012;1;1; ;1;82;4;2;2;2;2;,8;1;1;5
01015901037980013;01;01;59;01;03798;0013;1;1; ;1;74;4;1;2;2;1;1,15;1;2;4
01015901037980014;01;01;59;01;03798;0014;1;1; ;2;66;4;1;1;1;1;1,5;1;2;4
01015901037980015;01;01;59;01;03798;0015;2; ;2;1;37;4;2;2;2;2;,24;1;1;2
01015901037989999;01;01;59;01;03798;9999;1;1; ;1;99;6;7;2;2;2;,35;1;1;6
01015901043600001;01;01;59;01;04360;0001;1;1; ;2;68;4;7;2;2;2;2,7;1;3;4
