Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_tn;fact_exp_fin
01015101086210001;01;01;51;01;08621;0001;,71;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;64,1680588914427
01015101086210002;01;01;51;01;08621;0002;1,13;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;59,3977383152538
01015101086210003;01;01;51;01;08621;0003;,62;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;47,7636512343916
01015101086210004;01;01;51;01;08621;0004;1,76;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;46,508293796633
01015101086210005;01;01;51;01;08621;0005;1,36;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;60,6417376932933
01015101086210006;01;01;51;01;08621;0006;,32;3;1;2;3;1;2; ; ; ; ; ; ;1; ; ;4;69,7401678144049
01015101086210007;01;01;51;01;08621;0007;,86;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;80,7198308312341
01015101086210008;01;01;51;01;08621;0008;1,3;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;63,9998798105324
01015101086210009;01;01;51;01;08621;0009;1,47;3;1;2;3;1;2; ; ; ; ; ; ;1; ; ;4;78,6423731915624
01015101096190001;01;01;51;01;09619;0001;6;4;2;2;4;2;2; ; ; ; ; ; ;1; ; ;4;52,7533647355502
01015101096190003;01;01;51;01;09619;0003;2;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;74,3902240511482
01015164000991174;01;01;51;64;00099;1174;,07;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;1
01015164000991176;01;01;51;64;00099;1176;,26;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;1
01015201145250001;01;01;52;01;14525;0001;3,52;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;67,8559970687509
01015201145250002;01;01;52;01;14525;0002;1,25;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;69,2089609213985
01015201145250003;01;01;52;01;14525;0003;4,25;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;17,7158869132399
01015201151540001;01;01;52;01;15154;0001;9,5;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;47,4237109329028
01015201151540002;01;01;52;01;15154;0002;1,04;2; ;2;1; ;1;1; ;1; ; ; ;1; ; ;4;6,39152750898931
01015201151540004;01;01;52;01;15154;0004;1,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;35,0698970166407
01015201153250001;01;01;52;01;15325;0001;,78;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;18,6146542698515
01015201153250002;01;01;52;01;15325;0002;9,12;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;47,9907066333908
01015201153250003;01;01;52;01;15325;0003;10,58;3;1;2;3;1;2; ; ; ; ; ; ;1; ; ;4;11,7375777958441
01015201153260001;01;01;52;01;15326;0001;10,58;3;1;2;3;1;2; ; ; ; ; ; ;1; ; ;4;35,7240945477664
01015201153260002;01;01;52;01;15326;0002;9,12;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;10,3353698793845
01015201153260003;01;01;52;01;15326;0003;4,28;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;28,933505549166
01015201172360001;01;01;52;01;17236;0001;13,25;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;45,0686513796194
01015201174960001;01;01;52;01;17496;0001;3,51;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;27,2535274636307
01015201174960002;01;01;52;01;17496;0002;2,75;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;59,1857000640791
01015201174960003;01;01;52;01;17496;0003;2,68;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;11,8967135808038
01015201174960004;01;01;52;01;17496;0004;3,26;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;46,9216274872411
01015201174960005;01;01;52;01;17496;0005;2,51;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;61,3113052595357
01015301073390001;01;01;53;01;07339;0001;14;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;36,1733511059823
01015301073390002;01;01;53;01;07339;0002;5,15;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;17,6180029701937
01015301088600001;01;01;53;01;08860;0001;5,76;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;47,221960283966
01015301088600002;01;01;53;01;08860;0002;7,26;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;44,7880357499091
01015301093680001;01;01;53;01;09368;0001;8,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;30,8462040618879
01015301093680002;01;01;53;01;09368;0002;6,01;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;58,2498396413081
01015301093720001;01;01;53;01;09372;0001;11,9;3; ;3;3; ;3; ; ; ; ; ; ;1; ; ;4;30,7520326145334
01015301093720002;01;01;53;01;09372;0002;12,3;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;18,7975969647544
01015403001650002;01;01;54;03;00165;0002;27,04;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;45,1064239919388
01015403001650003;01;01;54;03;00165;0003;59,7;3;2;1;1;1; ;2;1;1; ; ; ;1; ; ;4;54,5305332531846
01015403001650004;01;01;54;03;00165;0004;84,03;3;2;1;1;1; ;2;1;1; ; ; ;1; ; ;4;23,0334687799526
01015403001650005;01;01;54;03;00165;0005;50,04;3;2;1;1;1; ;2;1;1; ; ; ;1; ; ;4;25,9975853788846
01015403001650006;01;01;54;03;00165;0006;21,4;3;2;1;1;1; ;2;1;1; ; ; ;1; ; ;4;8,64445694344114
01015601062970001;01;01;56;01;06297;0001;3,98;4;1;3;1;1; ; ; ; ;3; ;3;1; ; ;4;42,6960419331808
01015601062970003;01;01;56;01;06297;0003;,42;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;61,265342974431
01015601062970004;01;01;56;01;06297;0004;5,51;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;18,8903529059672
01015601062970005;01;01;56;01;06297;0005;2,26;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;64,4226701198808
01015601062970006;01;01;56;01;06297;0006;,45;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;79,5939498869946
01015601062970007;01;01;56;01;06297;0007;,55;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;84,4826560763087
01015601062970008;01;01;56;01;06297;0008;,62;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;60,5519047898283
01015601062970010;01;01;56;01;06297;0010;,16;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;2,20515836674043
01015601063680002;01;01;56;01;06368;0002;,62;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;23,7797073402689
01015601063680003;01;01;56;01;06368;0003;,55;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;10,3388115860154
01015601063680004;01;01;56;01;06368;0004;5,51;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;20,9758339623806
01015601063680005;01;01;56;01;06368;0005;2,58;4;2;2;4;2;2; ; ; ; ; ; ;1; ; ;4;51,6940817155196
01015601063680007;01;01;56;01;06368;0007;,98;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;54,9278540204358
01015601063680008;01;01;56;01;06368;0008;,52;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;53,7481557377587
01015601063680009;01;01;56;01;06368;0009;,89;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;50,086103018447
01015701000570001;01;01;57;01;00057;0001;16,06;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;21,7777284659755
01015701000570002;01;01;57;01;00057;0002;6,81;4;3;1;3;2;1; ; ; ;1;1; ;1; ; ;4;36,3302953915443
01015701002470001;01;01;57;01;00247;0001;18,02;4;4; ;4;4; ; ; ; ; ; ; ;1; ; ;4;17,3229747367767
01015701002470003;01;01;57;01;00247;0003;37,02;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;1,57420253868864
01015701003280002;01;01;57;01;00328;0002;20,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;16,3535204137168
01015701004170001;01;01;57;01;00417;0001;12,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;49,7218676752693
01015701005090001;01;01;57;01;00509;0001;6,02;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;35,2497232639144
01015701005700001;01;01;57;01;00570;0001;6,02;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;13,7323144557222
01015701005700002;01;01;57;01;00570;0002;18,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;28,5669682263485
01015701006740001;01;01;57;01;00674;0001;17;2;2; ;2;2; ; ; ; ; ; ; ;1; ; ;4;35,1270371047049
01015701007160001;01;01;57;01;00716;0001;135;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;4,42340467244433
01015701007480001;01;01;57;01;00748;0001;135;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;4,42340467244433
01015701008050001;01;01;57;01;00805;0001;63;2;2; ;2;2; ; ; ; ; ; ; ;1; ; ;4;9,47872429809499
01015701010240001;01;01;57;01;01024;0001;26;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;22,9676781069225
01015701013150001;01;01;57;01;01315;0001;90;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;6,6351070086659
01015701013570001;01;01;57;01;01357;0001;116;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;5,14792785155159
01015701014560001;01;01;57;01;01456;0001;15,02;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;36,4607814729923
01015701014560002;01;01;57;01;01456;0002;14;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;1,58699962056897
01015701016040001;01;01;57;01;01604;0001;115;4;4; ;1;1; ; ; ; ;3;3; ;1; ; ;4;5,19269244156508
01015701016530001;01;01;57;01;01653;0001;35,25;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;16,9406987455446
01015701018130002;01;01;57;01;01813;0002;10,02;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;34,3625135720371
01015701021550001;01;01;57;01;02155;0001;250;2;2; ;1;1; ;1;1; ; ; ; ;1; ; ;4;2,38863852311861
01015701021750001;01;01;57;01;02175;0001;20;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;29,8579815389992
01015701023230002;01;01;57;01;02323;0002;35;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;12,629555221633
01015701032570001;01;01;57;01;03257;0001;45;2;2; ;2;2; ; ; ; ; ; ; ;1; ; ;4;12,6215351111752
01015701034340001;01;01;57;01;03434;0001;10,06;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;27,995153125968
01015701034340003;01;01;57;01;03434;0003;10;3; ;3;3; ;3; ; ; ; ; ; ;1; ; ;4;17,5839546277668
01015701044060001;01;01;57;01;04406;0001;15,33;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;38,9536614990162
01015701068490001;01;01;57;01;06849;0001;19,01;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;31,4129211351912
01015701068510001;01;01;57;01;06851;0001;19,01;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;31,4129211351912
01015701077200001;01;01;57;01;07720;0001;20,1;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;29,2235637239398
01015702000130001;01;01;57;02;00013;0001;22,03;7;7; ;1;1; ; ; ; ;6;6; ;1; ; ;4;9,7302655099238
01015702000130002;01;01;57;02;00013;0002;19,01;5;4;1;2;1;1; ; ; ;3;3; ;1; ; ;4;10,779545705718
01015702000130003;01;01;57;02;00013;0003;30,08;4;4; ;1;1; ;3;3; ; ; ; ;1; ; ;4;,823919204693722
01015702000130005;01;01;57;02;00013;0005;2,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;16,9658985758856
01015702000350001;01;01;57;02;00035;0001;1200,14;4;4; ;1;1; ;3;3; ; ; ; ;1; ; ;4;,567803275044482
01015702000540001;01;01;57;02;00054;0001;37,02;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;18,4074398301535
01015702000720001;01;01;57;02;00072;0001;6,8;4;3;1;3;2;1; ; ; ;1;1; ;1; ; ;4;9,43549814844836
01015702000720002;01;01;57;02;00072;0002;6,12;4;3;1;3;2;1; ; ; ;1;1; ;1; ; ;4;14,4500605256824
01015702000720003;01;01;57;02;00072;0003;5,53;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;17,678433619594
01015702000720004;01;01;57;02;00072;0004;5,37;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;21,7783484482158
01015702000720005;01;01;57;02;00072;0005;5,73;2;2; ;1;1; ; ; ; ;1;1; ;1; ; ;4;13,9487778297481
01015702000720006;01;01;57;02;00072;0006;8,02;2;2; ;1;1; ; ; ; ;1;1; ;1; ; ;4;11,5920788219107
01015702000720007;01;01;57;02;00072;0007;9,5;2;2; ;1;1; ; ; ; ;1;1; ;1; ; ;4;5,15519709406398
01015702000720008;01;01;57;02;00072;0008;9,5;3;2;1;3;2;1; ; ; ; ; ; ;1; ; ;4;5,48398619248796
01015702000720009;01;01;57;02;00072;0009;9,84;2;2; ;1;1; ; ; ; ;1;1; ;1; ; ;4;3,0617115140611
01015702000720010;01;01;57;02;00072;0010;5;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;,305761355482965
01015703000370001;01;01;57;03;00037;0001;128,01;4;3;1;2;1;1; ; ; ;2;2; ;1; ; ;4;52,3812062033621
01015703000370002;01;01;57;03;00037;0002;46,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;63,7972821187478
01015703002230001;01;01;57;03;00223;0001;23,29;2;2; ;2;2; ; ; ; ; ; ; ;1; ; ;4;35,1295415029734
01015703002230002;01;01;57;03;00223;0002;27,42;4;4; ;4;4; ; ; ; ; ; ; ;1; ; ;4;3,32174602369615
01015703002230004;01;01;57;03;00223;0004;2,17;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;77,5123996907041
01015703002230005;01;01;57;03;00223;0005;10,56;2; ;2;2; ;2; ; ; ; ; ; ;1; ; ;4;48,6230105241735
01015703002230008;01;01;57;03;00223;0008;24;6;5;1;1; ;1;1;1; ;4;4; ;1; ; ;4;22,756516576569
01015703002230009;01;01;57;03;00223;0009;19,13;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;55,9970998789976
01015703002230012;01;01;57;03;00223;0012;,8;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;71,1305399939341
01015703002230013;01;01;57;03;00223;0013;8,01;2;1;1;2;1;1; ; ; ; ; ; ;1; ; ;4;80,923736539401
01015703002230014;01;01;57;03;00223;0014;7;1; ;1;1; ;1; ; ; ; ; ; ;1; ; ;4;62,0858710575622
01015703002230015;01;01;57;03;00223;0015;10,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;27,2670002048215
01015703002230016;01;01;57;03;00223;0016;91,3;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;18,0452481849297
01015703002230017;01;01;57;03;00223;0017;11,5;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;26,8131256247531
01015703002230018;01;01;57;03;00223;0018;1;1;1; ;1;1; ; ; ; ; ; ; ;1; ; ;4;74,3180139265836
01015754000994062;01;01;57;54;00099;4062;12;5;4;1;3;2;1; ; ; ;2;2; ;1; ; ;4;1
01015754000994070;01;01;57;54;00099;4070;32,5;3;3; ;1;1; ; ; ; ;2;2; ;1; ; ;4;1
