Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin
1015101086210001,1,1,51,1,8621,1,.71,1,1,,1,1,,,,,,,,1,,,4,64.1680588914427
1015101086210002,1,1,51,1,8621,2,1.13,2,1,1,2,1,1,,,,,,,1,,,4,59.3977383152538
1015101086210003,1,1,51,1,8621,3,.62,2,1,1,2,1,1,,,,,,,1,,,4,47.7636512343916
1015101086210004,1,1,51,1,8621,4,1.76,2,1,1,2,1,1,,,,,,,1,,,4,46.508293796633
1015101086210005,1,1,51,1,8621,5,1.36,2,1,1,2,1,1,,,,,,,1,,,4,60.6417376932933
1015101086210006,1,1,51,1,8621,6,.32,3,1,2,3,1,2,,,,,,,1,,,4,69.7401678144049
1015101086210007,1,1,51,1,8621,7,.86,1,,1,1,,1,,,,,,,1,,,4,80.7198308312341
1015101086210008,1,1,51,1,8621,8,1.3,2,1,1,2,1,1,,,,,,,1,,,4,63.9998798105324
1015101086210009,1,1,51,1,8621,9,1.47,3,1,2,3,1,2,,,,,,,1,,,4,78.6423731915624
1015101096190001,1,1,51,1,9619,1,6,4,2,2,4,2,2,,,,,,,1,,,4,52.7533647355502
1015101096190003,1,1,51,1,9619,3,2,1,1,,1,1,,,,,,,,1,,,4,74.3902240511482
1015164000991174,1,1,51,64,99,1174,.07,2,1,1,2,1,1,,,,,,,1,,,4,1
1015164000991176,1,1,51,64,99,1176,.26,1,,1,1,,1,,,,,,,1,,,4,1
1015201145250001,1,1,52,1,14525,1,3.52,1,1,,1,1,,,,,,,,1,,,4,67.8559970687509
1015201145250002,1,1,52,1,14525,2,1.25,1,,1,1,,1,,,,,,,1,,,4,69.2089609213985
1015201145250003,1,1,52,1,14525,3,4.25,1,1,,1,1,,,,,,,,1,,,4,17.7158869132399
1015201151540001,1,1,52,1,15154,1,9.5,1,,1,1,,1,,,,,,,1,,,4,47.4237109329028
1015201151540002,1,1,52,1,15154,2,1.04,2,,2,1,,1,1,,1,,,,1,,,4,6.39152750898931
1015201151540004,1,1,52,1,15154,4,1.5,1,1,,1,1,,,,,,,,1,,,4,35.0698970166407
1015201153250001,1,1,52,1,15325,1,.78,1,1,,1,1,,,,,,,,1,,,4,18.6146542698515
1015201153250002,1,1,52,1,15325,2,9.12,2,1,1,2,1,1,,,,,,,1,,,4,47.9907066333908
1015201153250003,1,1,52,1,15325,3,10.58,3,1,2,3,1,2,,,,,,,1,,,4,11.7375777958441
1015201153260001,1,1,52,1,15326,1,10.58,3,1,2,3,1,2,,,,,,,1,,,4,35.7240945477664
1015201153260002,1,1,52,1,15326,2,9.12,2,1,1,2,1,1,,,,,,,1,,,4,10.3353698793845
1015201153260003,1,1,52,1,15326,3,4.28,1,1,,1,1,,,,,,,,1,,,4,28.933505549166
1015201172360001,1,1,52,1,17236,1,13.25,2,1,1,2,1,1,,,,,,,1,,,4,45.0686513796194
1015201174960001,1,1,52,1,17496,1,3.51,1,1,,1,1,,,,,,,,1,,,4,27.2535274636307
1015201174960002,1,1,52,1,17496,2,2.75,1,1,,1,1,,,,,,,,1,,,4,59.1857000640791
1015201174960003,1,1,52,1,17496,3,2.68,1,1,,1,1,,,,,,,,1,,,4,11.8967135808038
1015201174960004,1,1,52,1,17496,4,3.26,1,1,,1,1,,,,,,,,1,,,4,46.9216274872411
1015201174960005,1,1,52,1,17496,5,2.51,1,,1,1,,1,,,,,,,1,,,4,61.3113052595357
1015301073390001,1,1,53,1,7339,1,14,2,1,1,2,1,1,,,,,,,1,,,4,36.1733511059823
1015301073390002,1,1,53,1,7339,2,5.15,1,1,,1,1,,,,,,,,1,,,4,17.6180029701937
1015301088600001,1,1,53,1,8860,1,5.76,1,,1,1,,1,,,,,,,1,,,4,47.221960283966
1015301088600002,1,1,53,1,8860,2,7.26,2,1,1,2,1,1,,,,,,,1,,,4,44.7880357499091
1015301093680001,1,1,53,1,9368,1,8.01,2,1,1,2,1,1,,,,,,,1,,,4,30.8462040618879
1015301093680002,1,1,53,1,9368,2,6.01,1,1,,1,1,,,,,,,,1,,,4,58.2498396413081
1015301093720001,1,1,53,1,9372,1,11.9,3,,3,3,,3,,,,,,,1,,,4,30.7520326145334
1015301093720002,1,1,53,1,9372,2,12.3,1,,1,1,,1,,,,,,,1,,,4,18.7975969647544
1015403001650002,1,1,54,3,165,2,27.04,1,1,,1,1,,,,,,,,1,,,4,45.1064239919388
1015403001650003,1,1,54,3,165,3,59.7,3,2,1,1,1,,2,1,1,,,,1,,,4,54.5305332531846
1015403001650004,1,1,54,3,165,4,84.03,3,2,1,1,1,,2,1,1,,,,1,,,4,23.0334687799526
1015403001650005,1,1,54,3,165,5,50.04,3,2,1,1,1,,2,1,1,,,,1,,,4,25.9975853788846
1015403001650006,1,1,54,3,165,6,21.4,3,2,1,1,1,,2,1,1,,,,1,,,4,8.64445694344114
1015601062970001,1,1,56,1,6297,1,3.98,4,1,3,1,1,,,,,3,,3,1,,,4,42.6960419331808
1015601062970003,1,1,56,1,6297,3,.42,1,,1,1,,1,,,,,,,1,,,4,61.265342974431
1015601062970004,1,1,56,1,6297,4,5.51,2,1,1,2,1,1,,,,,,,1,,,4,18.8903529059672
1015601062970005,1,1,56,1,6297,5,2.26,2,,2,2,,2,,,,,,,1,,,4,64.4226701198808
1015601062970006,1,1,56,1,6297,6,.45,2,1,1,2,1,1,,,,,,,1,,,4,79.5939498869946
1015601062970007,1,1,56,1,6297,7,.55,2,,2,2,,2,,,,,,,1,,,4,84.4826560763087
1015601062970008,1,1,56,1,6297,8,.62,1,,1,1,,1,,,,,,,1,,,4,60.5519047898283
