Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango
1015101086210001,1,1,51,1,8621,1,1,1,,1,52,4,1,2,2,2,.71,1,1,3
1015101086210002,1,1,51,1,8621,2,2,,1,2,73,4,1,2,2,2,1.13,1,2,4
1015101086210003,1,1,51,1,8621,3,2,,20,2,60,4,1,2,1,1,.62,1,1,3
1015101086210004,1,1,51,1,8621,4,1,1,,2,45,4,1,2,2,2,1.76,1,2,3
1015101086210005,1,1,51,1,8621,5,1,1,,2,53,4,1,2,2,2,1.36,1,2,3
1015101086210006,1,1,51,1,8621,6,1,1,,1,33,4,1,2,1,1,.32,1,1,2
1015101086210007,1,1,51,1,8621,7,1,1,,2,67,4,7,2,2,2,.86,1,1,4
1015101086210008,1,1,51,1,8621,8,1,1,,1,26,4,2,2,2,2,1.3,1,2,2
1015101086210009,1,1,51,1,8621,9,1,1,,1,39,4,3,2,1,2,1.47,1,2,2
1015101096190001,1,1,51,1,9619,1,2,,2,1,69,4,1,2,2,2,6,1,5,4
1015101096190002,1,1,51,1,9619,2,2,,2,2,64,4,1,2,2,2,2.25,1,3,4
1015101096190003,1,1,51,1,9619,3,2,,3,1,65,4,7,2,2,2,2,1,3,4
1015164000991174,1,1,51,64,99,1174,1,1,,1,60,4,2,2,1,1,700,3,1,3
1015164000991175,1,1,51,64,99,1175,1,1,,2,35,6,7,2,2,2,1.8,1,2,2
1015164000991176,1,1,51,64,99,1176,1,1,,2,51,4,1,2,1,1,2600,3,1,3
1015164000991177,1,1,51,64,99,1177,1,1,,2,67,4,7,2,1,1,4600,3,1,4
1015201145250001,1,1,52,1,14525,1,1,1,,1,99,4,1,2,2,2,3.52,1,4,6
1015201145250002,1,1,52,1,14525,2,2,,.5,2,82,4,1,2,2,2,1.25,1,2,5
1015201145250003,1,1,52,1,14525,3,2,,1,1,65,4,1,2,2,2,4.25,1,4,4
1015201145250004,1,1,52,1,14525,4,2,,1.5,2,74,4,1,2,2,2,3,1,4,4
1015201151540001,1,1,52,1,15154,1,2,,20,2,21,4,1,2,2,2,9.5,1,5,2
1015201151540002,1,1,52,1,15154,2,1,1,,2,27,4,2,2,2,2,1.04,1,2,2
1015201151540003,1,1,52,1,15154,3,1,1,,2,30,4,3,2,1,1,2,1,3,2
1015201151540004,1,1,52,1,15154,4,1,1,,1,49,4,2,2,2,2,1.5,1,2,3
1015201151549999,1,1,52,1,15154,9999,1,1,,1,99,6,7,2,2,2,.21,1,1,6
1015201153250001,1,1,52,1,15325,1,2,,1,1,66,1,1,2,2,2,.78,1,1,4
1015201153250002,1,1,52,1,15325,2,1,1,,1,69,4,7,2,1,1,9.12,1,5,4
1015201153250003,1,1,52,1,15325,3,2,,1,1,99,4,1,2,2,1,10.58,1,6,6
1015201153259999,1,1,52,1,15325,9999,1,1,,1,99,6,7,2,2,2,.32,1,1,6
1015201153260001,1,1,52,1,15326,1,2,,.3,1,99,4,1,2,2,1,10.58,1,6,6
1015201153260002,1,1,52,1,15326,2,1,1,,2,69,4,7,2,1,1,9.12,1,5,4
1015201153260003,1,1,52,1,15326,3,2,,1,1,66,1,2,2,2,2,4.28,1,4,4
1015201153269999,1,1,52,1,15326,9999,1,1,,1,99,6,7,2,2,2,.03,1,1,6
1015201154500001,1,1,52,1,15450,1,2,,10,1,56,4,1,2,2,2,1.5,1,2,3
1015201154500002,1,1,52,1,15450,2,2,,10,1,50,4,1,2,2,2,9,1,5,3
1015201172360001,1,1,52,1,17236,1,2,,.4,1,65,1,1,1,2,2,13.25,1,6,4
1015201174960001,1,1,52,1,17496,1,2,,5,1,38,4,1,2,1,1,3.51,1,4,2
1015201174960002,1,1,52,1,17496,2,2,,300,1,62,4,1,2,1,1,2.75,1,3,4
1015201174960003,1,1,52,1,17496,3,2,,10,1,38,4,1,2,2,2,2.68,1,3,2
1015201174960004,1,1,52,1,17496,4,2,,5,1,65,4,1,2,2,2,3.26,1,4,4
1015201174960005,1,1,52,1,17496,5,2,,5,2,57,4,1,2,2,2,2.51,1,3,3
1015301073390001,1,1,53,1,7339,1,2,,.4,1,56,1,1,2,2,2,14,1,6,3
1015301073390002,1,1,53,1,7339,2,2,,8,1,32,4,2,2,1,1,5.15,1,5,2
1015301088600001,1,1,53,1,8860,1,2,,2,2,91,4,7,2,2,2,5.76,1,5,5
1015301088600002,1,1,53,1,8860,2,2,,20,1,35,4,1,2,2,2,7.26,1,5,2
1015301093680001,1,1,53,1,9368,1,2,,5,2,54,4,1,1,2,2,8.01,1,5,3
1015301093680002,1,1,53,1,9368,2,2,,2,1,80,4,1,2,2,2,6.01,1,5,4
1015301093720001,1,1,53,1,9372,1,1,1,,2,28,4,2,2,2,2,11.9,1,6,2
1015301093720002,1,1,53,1,9372,2,2,,15,2,63,4,1,2,2,1,12.3,1,6,4
1015403001650001,1,1,54,3,165,1,1,1,,1,99,4,7,2,2,2,42708.4,1,10,6
1015403001650002,1,1,54,3,165,2,1,1,,1,50,4,1,2,2,2,27.04,1,7,3
1015403001650003,1,1,54,3,165,3,2,,15,1,95,4,1,2,2,1,59.7,1,8,5
1015403001650004,1,1,54,3,165,4,1,1,,1,57,4,2,2,2,1,84.03,1,8,3
1015403001650005,1,1,54,3,165,5,1,1,,1,34,4,2,2,2,2,50.04,1,8,2
1015403001650006,1,1,54,3,165,6,1,1,,1,43,4,1,1,1,1,21.4,1,7,3
1015403001650007,1,1,54,3,165,7,2,,20,1,52,4,1,2,2,2,16.03,1,6,3
1015403001659999,1,1,54,3,165,9999,1,1,,1,99,4,7,2,2,2,2.3,1,3,6
1015404000190001,1,1,54,4,19,1,1,1,,1,99,6,7,2,2,2,42708.4,1,10,6
1015601057479999,1,1,56,1,5747,9999,1,1,,1,99,4,7,2,2,2,500,1,10,6
1015601062970001,1,1,56,1,6297,1,1,1,,1,89,4,7,2,2,2,3.98,1,4,5
1015601062970002,1,1,56,1,6297,2,2,,1,2,99,4,7,2,2,2,.05,1,1,6
1015601062970003,1,1,56,1,6297,3,1,1,,1,51,4,1,2,1,1,.42,1,1,3
1015601062970004,1,1,56,1,6297,4,1,1,,1,99,4,2,2,1,1,5.51,1,5,6
1015601062970005,1,1,56,1,6297,5,1,1,,2,92,4,1,2,2,2,2.26,1,3,5
1015601062970006,1,1,56,1,6297,6,1,1,,2,53,1,1,2,1,1,.45,1,1,3
1015601062970007,1,1,56,1,6297,7,1,1,,2,65,4,7,2,2,2,.55,1,1,4
1015601062970008,1,1,56,1,6297,8,1,1,,2,99,4,7,2,2,2,.62,1,1,6
1015601062970009,1,1,56,1,6297,9,1,1,,1,99,4,7,2,2,2,.34,1,1,6
1015601062970010,1,1,56,1,6297,10,1,1,,2,50,4,1,2,2,1,.16,1,1,3
1015601062970011,1,1,56,1,6297,11,1,1,,2,34,4,1,2,2,1,.03,1,1,2
1015601062979999,1,1,56,1,6297,9999,1,1,,1,99,4,7,2,2,2,.14,1,1,6
1015601063680001,1,1,56,1,6368,1,2,,1,1,99,4,7,2,2,2,.34,1,1,6
1015601063680002,1,1,56,1,6368,2,2,,1,2,99,4,7,2,2,2,.62,1,1,6
1015601063680003,1,1,56,1,6368,3,2,,1,2,65,4,7,2,2,1,.55,1,1,4
1015601063680004,1,1,56,1,6368,4,1,1,,1,99,4,2,2,1,1,5.51,1,5,6
1015601063680005,1,1,56,1,6368,5,1,1,,2,59,4,7,2,2,2,2.58,1,3,3
1015601063680006,1,1,56,1,6368,6,1,1,,2,26,4,7,2,2,2,.81,1,1,2
1015601063680007,1,1,56,1,6368,7,1,1,,2,57,4,1,2,1,1,.98,1,1,3
1015601063680008,1,1,56,1,6368,8,1,1,,2,37,4,1,2,1,1,.52,1,1,2
1015601063680009,1,1,56,1,6368,9,1,1,,1,47,4,3,2,1,1,.89,1,1,3
1015601063680010,1,1,56,1,6368,10,1,1,,2,40,4,7,2,1,1,2.5,1,3,2
1015601063689999,1,1,56,1,6368,9999,1,1,,1,99,4,7,2,2,2,.12,1,1,6
1015701000570001,1,1,57,1,57,1,2,,2,1,28,4,1,1,1,1,16.06,1,6,2
1015701000570002,1,1,57,1,57,2,2,,2,2,76,4,7,1,2,2,6.81,1,5,4
1015701001670001,1,1,57,1,167,1,2,,10,1,71,4,7,2,2,2,10.01,1,6,4
1015701001670002,1,1,57,1,167,2,2,,10,2,64,4,7,2,2,2,20.01,1,7,4
1015701002470001,1,1,57,1,247,1,2,,2,1,42,4,5,2,2,2,18.02,1,6,3
1015701002470002,1,1,57,1,247,2,2,,1,1,60,4,2,1,2,2,4.02,1,4,3
1015701002470003,1,1,57,1,247,3,2,,1,1,62,4,1,2,2,2,37.02,1,7,4
1015701003280001,1,1,57,1,328,1,2,,2,1,55,4,1,2,2,2,5.01,1,5,3
1015701003280002,1,1,57,1,328,2,2,,4,1,57,4,1,1,1,1,20.01,1,7,3
1015701004170001,1,1,57,1,417,1,2,,2,1,67,4,1,2,2,2,12.01,1,6,4
1015701005090001,1,1,57,1,509,1,2,,12,1,65,4,5,2,2,2,6.02,1,5,4
1015701005090002,1,1,57,1,509,2,1,1,,2,70,4,1,2,2,2,6,1,5,4
1015701005700001,1,1,57,1,570,1,2,,12,1,65,4,5,2,2,2,6.02,1,5,4
1015701005700002,1,1,57,1,570,2,2,,3,1,37,4,1,2,2,2,18.01,1,6,2
1015701006740001,1,1,57,1,674,1,2,,4,1,72,4,1,2,2,2,17,1,6,4
1015701007160001,1,1,57,1,716,1,2,,5,1,48,4,4,2,2,2,135,1,9,3
1015701007480001,1,1,57,1,748,1,2,,5,1,48,4,1,2,2,2,135,1,9,3
1015701008050001,1,1,57,1,805,1,2,,6,1,60,4,1,2,2,2,63,1,8,3
1015701010240001,1,1,57,1,1024,1,2,,6,2,65,4,1,2,2,2,26,1,7,4
1015701011690001,1,1,57,1,1169,1,2,,99,1,99,6,7,2,2,2,25,1,7,6
1015701011699999,1,1,57,1,1169,9999,1,1,,1,99,6,7,2,2,2,.01,1,1,6
1015701013040001,1,1,57,1,1304,1,2,,99,1,99,6,7,2,2,2,25,1,7,6
1015701013049999,1,1,57,1,1304,9999,1,1,,1,99,6,7,2,2,2,.35,1,1,6
1015701013150001,1,1,57,1,1315,1,2,,1,2,30,4,1,2,2,2,90,1,8,2
1015701013570001,1,1,57,1,1357,1,2,,20,1,60,4,1,2,2,2,116,1,9,3
1015701014560001,1,1,57,1,1456,1,1,1,,2,40,4,1,2,2,2,15.02,1,6,2
1015701014560002,1,1,57,1,1456,2,2,,30,1,70,4,1,2,2,2,14,1,6,4
1015701014569999,1,1,57,1,1456,9999,1,1,,1,99,6,7,2,2,2,.4,1,1,6
1015701016040001,1,1,57,1,1604,1,1,1,,1,62,4,1,2,2,2,115,1,9,4
1015701016530001,1,1,57,1,1653,1,2,,1,2,76,5,7,1,2,2,35.25,1,7,4
1015701018130001,1,1,57,1,1813,1,2,,3,2,54,4,1,2,2,2,8,1,5,3
1015701018130002,1,1,57,1,1813,2,1,1,,2,48,4,1,1,2,2,10.02,1,6,3
1015701018139999,1,1,57,1,1813,9999,1,1,,1,99,6,7,2,2,2,.5,1,1,6
1015701021550001,1,1,57,1,2155,1,2,,80,1,53,4,2,2,1,1,250,1,10,3
1015701021750001,1,1,57,1,2175,1,2,,5,1,36,4,1,2,2,2,20,1,7,2
1015701023230001,1,1,57,1,2323,1,2,,.2,2,43,4,2,2,2,2,2,1,3,3
1015701023230002,1,1,57,1,2323,2,2,,2,2,62,4,1,2,2,2,35,1,7,4
1015701023560001,1,1,57,1,2356,1,2,,1,1,36,4,1,2,2,1,50.04,1,8,2
1015701025800001,1,1,57,1,2580,1,2,,80,1,57,4,1,2,2,2,30,1,7,3
1015701027780001,1,1,57,1,2778,1,2,,2,2,54,4,1,2,2,2,20,1,7,3
1015701032570001,1,1,57,1,3257,1,2,,4,1,70,4,1,1,2,2,45,1,7,4
1015701032579999,1,1,57,1,3257,9999,1,1,,1,99,6,7,2,2,2,.09,1,1,6
1015701034340001,1,1,57,1,3434,1,2,,4,2,37,4,2,2,1,1,10.06,1,6,2
1015701034340002,1,1,57,1,3434,2,1,1,,2,45,4,1,2,2,2,1.71,1,2,3
1015701034340003,1,1,57,1,3434,3,1,1,,1,78,4,7,2,2,2,10,1,6,4
1015701034349999,1,1,57,1,3434,9999,1,1,,2,99,6,7,2,2,2,.6,1,1,6
1015701044060001,1,1,57,1,4406,1,2,,.7,1,70,1,1,2,2,2,15.33,1,6,4
1015701049490001,1,1,57,1,4949,1,2,,1,1,52,4,1,1,2,2,29.52,1,7,3
1015701068490001,1,1,57,1,6849,1,2,,30,1,50,4,1,2,2,2,19.01,1,6,3
1015701068510001,1,1,57,1,6851,1,2,,300,1,50,4,1,2,2,2,19.01,1,6,3
1015701077200001,1,1,57,1,7720,1,1,1,,1,45,4,1,2,2,1,20.1,1,7,3
1015701077209999,1,1,57,1,7720,9999,1,1,,1,99,6,7,2,2,2,.25,1,1,6
1015702000130001,1,1,57,2,13,1,1,1,,1,58,4,1,2,1,1,22.03,1,7,3
1015702000130002,1,1,57,2,13,2,1,1,,1,65,4,1,2,2,2,19.01,1,6,4
1015702000130003,1,1,57,2,13,3,1,1,,1,56,4,1,1,1,1,30.08,1,7,3
1015702000130004,1,1,57,2,13,4,1,1,,1,27,1,2,2,2,2,17.6,1,6,2
1015702000130005,1,1,57,2,13,5,1,1,,2,34,1,1,2,1,1,2.01,1,3,2
1015702000139999,1,1,57,2,13,9999,1,1,,1,99,6,7,2,2,2,2,1,3,6
1015702000350001,1,1,57,2,35,1,2,,1,1,48,4,5,2,2,2,1200.14,1,10,3
1015702000540001,1,1,57,2,54,1,2,,1,1,36,4,1,2,2,2,37.02,1,7,2
1015702000720001,1,1,57,2,72,1,1,2,.2,1,60,4,1,2,2,2,6.8,1,5,3
1015702000720002,1,1,57,2,72,2,1,1,,2,64,4,1,2,2,2,6.12,1,5,4
1015702000720003,1,1,57,2,72,3,2,,.04,2,67,4,1,2,2,2,5.53,1,5,4
1015702000720004,1,1,57,2,72,4,1,1,,1,62,3,1,1,2,2,5.37,1,5,4
1015702000720005,1,1,57,2,72,5,1,1,,1,30,4,3,2,2,1,5.73,1,5,2
1015702000720006,1,1,57,2,72,6,1,2,.2,1,37,4,2,2,2,1,8.02,1,5,2
1015702000720007,1,1,57,2,72,7,2,,.2,1,36,4,2,2,2,1,9.5,1,5,2
1015702000720008,1,1,57,2,72,8,1,1,,1,43,4,1,1,2,1,9.5,1,5,3
1015702000720009,1,1,57,2,72,9,1,1,,1,30,3,1,2,2,1,9.84,1,5,2
1015702000720010,1,1,57,2,72,10,2,,.5,2,42,4,1,2,2,1,5,1,5,3
1015702000729999,1,1,57,2,72,9999,1,1,,1,99,6,7,2,2,2,.42,1,1,6
1015703000370001,1,1,57,3,37,1,2,,2,1,49,4,1,1,2,2,128.01,1,9,3
1015703000370002,1,1,57,3,37,2,2,,2,1,32,4,5,1,2,2,46.01,1,7,2
1015703002230001,1,1,57,3,223,1,1,1,,1,60,4,1,2,2,2,23.29,1,7,3
1015703002230002,1,1,57,3,223,2,1,1,,1,78,4,1,1,2,2,27.42,1,7,4
1015703002230003,1,1,57,3,223,3,2,,2,1,46,4,2,1,1,1,403.2,1,10,3
1015703002230004,1,1,57,3,223,4,1,1,,1,55,4,1,2,2,1,2.17,1,3,3
1015703002230005,1,1,57,3,223,5,1,1,,2,62,4,1,2,2,2,10.56,1,6,4
1015703002230006,1,1,57,3,223,6,1,1,,1,45,4,1,1,2,2,.95,1,1,3
1015703002230007,1,1,57,3,223,7,2,,80,1,99,6,7,2,2,2,45.39,1,7,6
