Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
1015601063680009,1,1,56,1,6368,9,1,1,478,1,,,,,,.05,.05,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,499,1,,,4,,,,,,,,,,,0,.05,,,.05,,,,,,,1,76.3459913592835
1015701077200001,1,1,57,1,7720,1,1,1,482,1,,25,3,3,1,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,,,,,,,,,,,25,,,1.3,1.3,,,,,,,1,65.2413943855399
1015702000130001,1,1,57,2,13,1,1,1,410,1,,20,3,3,3,10,10,10,10,10,10,,80,35,100,5,7,80,35,100,5,100,,,,,,,,,,2,2,1,10,10,100,,,,,,1,1,20,3,20,1,,,1,20,5,,,,,,,1,2,,,1,,,,20,5,2,,,,,,,6,,,411,1,,,4,1.81818181818182,1.81818181818182,0,,,,,,,,20,,,10,,,10,,10,10,10,1,1.29206094721141
1015702000130002,1,1,57,2,13,2,1,1,410,1,,15,4,4,2,9,9,9,9,9,9,,80,35,100,5,2,80,35,100,5,100,,,,,,,,,,2,2,1,9,9,100,,,,,,1,2,,,,,,,1,,,27,3,,,,,2,2,,,2,,,,,,,,,,,,,3,1,,411,1,,,4,1.81818181818182,1.81818181818182,0,,,,,,,,15,,9,,,9,,,9,9,,1,6.1383378014001
1015702000130002,1,1,57,2,13,2,2,2,410,1,,7,3,3,2,7,7,7,7,7,7,,50,35,100,5,2,50,35,100,5,100,,,,,,,,,,2,2,1,7,7,100,,,,,,1,2,,,,,,,1,,,21,3,,,,,2,2,,,2,,,,,,,,,,,,,3,1,,411,1,,,4,1.13636363636364,1.13636363636364,0,,,,,,,,7,7,,,,7,,,7,7,,1,16.0356853837006
1015702000130003,1,1,57,2,13,3,1,1,410,1,,13,2,2,1,30,30,30,30,30,30,,390,35,100,5,7,390,35,100,5,100,,,,,,,,,,2,2,1,30,30,100,,,,,,1,1,180,3,,,,,1,,,90,3,,,,,1,2,,,1,90,5,2,30,1,2,,,,,,,,,,411,1,,,4,8.86363636363636,8.86363636363636,0,,,,,,,,13,,30,,30,,,,30,30,30,1,.695619724364716
1015702000130005,1,1,57,2,13,5,1,1,410,1,,5,3,3,2,2,2,2,2,2,2,,25,40,50,5,7,25,40,50,5,100,,,,,,,,,,2,2,1,2,2,100,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,.284090909090909,.284090909090909,0,,,,,,,,5,2,,,,2,,,2,,,1,16.8918717218565
1015702000540001,1,1,57,2,54,1,1,1,410,1,,9,3,3,2,9,9,9,9,9,9,,360,40,50,5,7,360,40,50,5,100,,,,,,,,,,2,2,1,9,9,,100,,,,,2,2,,,,,,,2,,,,,,,,,1,2,,,1,,,,,,,9,5,3,,,,,,,411,1,,,4,4.09090909090909,4.09090909090909,0,,,,,,,,9,9,,,,9,,,9,,9,1,9.6595675204488
1015702000540001,1,1,57,2,54,1,2,2,410,1,,9,3,3,2,1,1,1,1,1,1,,40,40,50,5,7,40,40,50,5,100,,,,,,,,,,2,2,1,1,1,,100,,,,,2,2,,,,,,,2,,,,,,,,,1,2,,,1,,,,,,,1,5,3,,,,,,,411,1,,,4,.454545454545455,.454545454545455,0,,,,,,,,9,1,,,,1,,,1,,1,1,17.3519222900381
1015702000720001,1,1,57,2,72,1,1,1,410,1,,13,3,3,2,2.7,2.7,2.7,2.7,2.7,2.7,,5,35,100,5,5,5,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,.113636363636364,.113636363636364,0,,,,,,,,13,,2.7,,,2.7,,,,,,1,10.577608684695
1015702000720001,1,1,57,2,72,1,2,2,410,1,,3,3,4,2,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,,,,,,,,,,,3,2.5,,,,2.5,,,,,,1,3.33331894325659
