Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
1025101223210002,1,2,51,1,22321,2,3,3,407,1,,2.0,2.5,2.5,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,8.0,35.0,100.0,3.0,7.0,,,,,,,8.0,,,,,,,,0,0,1,0.2,0.2,,100.0,,,,,1,1,2.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,407,1.0,,,4,0.363636363636364,,0.0,,,,,,,,2,0.2,,,0.2,,,,0.2,0.2,,1,60.293342598525
1065201252140003,1,6,52,1,25214,3,2,1,407,1,,99.0,3.0,3.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,30.0,35.0,100.0,3.0,1.0,,,,,,,30.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,,407,1.0,,,4,1.3636363636363602,,0.5,0.5,0.5,,,,,,1,1.5,,,1.5,,,,,,,1,16.248156680493
3045002000900001,3,4,50,2,90,1,1,1,407,1,,60.0,2.7,2.7,2.0,50.0,50.0,50.0,50.0,50.0,50.0,,69980.0,16.0,43.0,3.0,7.0,69980.0,16.0,43.0,3.0,0.0,100.0,,,,,,,,,1,0,1,50.0,50.0,,100.0,,,,,1,0,,,,,,,1,,,1800.0,2.0,,,1800.0,2.0,0,0.0,,,0.0,,,,,,,,,,,,,23.0,,,407,1.0,,,4,1367.79090909091,1367.79090909091,0.0,,,,,,,,60,,,50.0,,50.0,,,50.0,50.0,,1,34.6209233769416
3045002000900001,3,4,50,2,90,1,2,2,407,1,,58.0,2.7,2.7,2.0,20.0,20.0,20.0,20.0,20.0,20.0,,20000.0,16.0,43.0,3.0,7.0,20000.0,16.0,43.0,3.0,,100.0,,,,,,,,,1,0,1,20.0,20.0,,100.0,,,,,1,0,,,,,,,1,,,720.0,2.0,,,720.0,2.0,0,0.0,,,0.0,,,,,,,,,,,,,23.0,,,407,1.0,,,4,390.9090909090911,390.9090909090911,0.0,,,,,,,,58,,,20.0,,20.0,,,20.0,20.0,,1,29.173218690134
3045002000900002,3,4,50,2,90,2,1,1,407,1,,20.0,2.5,2.5,2.0,40.0,40.0,40.0,40.0,39.5,39.5,3.0,54000.0,16.0,45.0,3.0,2.0,54000.0,16.0,45.0,3.0,,100.0,,,,,,,,,0,0,1,40.0,40.0,,100.0,,,,,1,0,,,,,,,1,,,480.0,3.0,,,240.0,3.0,1,0.0,,,1.0,,,,,,,150.0,5.0,3.0,,,,,,,407,1.0,,,4,1104.54545454545,1104.54545454545,0.5,0.5,,,0.5,,,,20,,,40.0,,40.0,,,40.0,40.0,40.0,1,3.2737663438146902
3045002001400001,3,4,50,2,140,1,1,1,407,1,,20.0,2.0,2.0,2.0,56.0,56.0,56.0,56.0,56.0,56.0,,36000.0,16.0,44.0,3.0,7.0,36000.0,16.0,44.0,3.0,,100.0,,,,,,,,,1,0,1,56.0,56.0,,100.0,,,,,1,0,,,,,,,1,150.0,3.0,150.0,3.0,450.0,5.0,,,1,0.0,,,1.0,168.0,5.0,2.0,168.0,5.0,2.0,168.0,5.0,2.0,,,,,,,407,1.0,,,4,720.0,720.0,0.0,,,,,,,,20,,,56.0,,56.0,,,56.0,56.0,56.0,1,6.876088507928902
3045002001780001,3,4,50,2,178,1,1,1,407,1,,13.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,350.0,16.0,46.0,3.0,7.0,350.0,16.0,46.0,3.0,100.0,,,,,,,,,,0,0,1,5.0,5.0,,100.0,,,,,1,0,,,,,,,1,,,27.0,2.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,,,407,1.0,,,4,7.31818181818182,7.31818181818182,0.0,,,,,,,,13,,5.0,,,5.0,,,5.0,5.0,,1,58.8148979721231
3045002001780003,3,4,50,2,178,3,1,1,407,1,,18.0,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,400.0,16.0,46.0,3.0,7.0,400.0,16.0,46.0,3.0,100.0,,,,,,,,,,0,0,1,2.0,2.0,,100.0,,,,,1,0,,,,,,,1,,,800.0,2.0,,,,,1,0.0,,,1.0,,,,,,,45.0,5.0,3.0,,,,2.0,0.0,,407,1.0,,,4,8.36363636363636,8.36363636363636,0.0,,,,,,,,18,,2.0,,,2.0,,,2.0,2.0,2.0,1,43.6600356510892
3045052000990280,3,4,50,52,99,280,1,1,407,1,,60.0,3.0,3.0,1.0,160.0,160.0,160.0,160.0,160.0,160.0,,300000.0,16.0,43.0,3.0,7.0,300000.0,16.0,43.0,3.0,0.0,100.0,,,,,,,,,1,1,1,160.0,160.0,,100.0,,,,,1,0,,,,,,,1,3000.0,2.0,3000.0,2.0,,,,,1,0.0,,,1.0,1200.0,5.0,2.0,,,,,,,,,,,,,407,1.0,,,4,5863.6363636363585,5863.6363636363585,0.0,,,,,,,,60,,,160.0,160.0,,,,160.0,160.0,160.0,1,1.0
3045052000990302,3,4,50,52,99,302,1,1,407,1,,50.0,3.0,3.0,1.0,56.0,56.0,56.0,56.0,56.0,56.0,,105000.0,16.0,41.5,3.0,7.0,105000.0,16.0,41.5,3.0,3.0,97.0,,,,,,,,,0,0,1,56.0,56.0,,100.0,,,,,1,0,,,,,,,1,,,71896.0,2.0,,,,,1,0.0,,,1.0,226.0,5.0,2.0,100.0,5.0,2.0,200.0,5.0,4.0,,,,,,,407,1.0,,,4,1980.68181818182,1980.68181818182,0.0,,,,,,,,50,,,56.0,56.0,,,,56.0,56.0,56.0,1,1.0
