Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
2016001013450001,2,1,60,1,1345,1,1,1,483,2,1.0,15.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,24.0,35.0,100.0,6.0,7.0,24.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,50.0,2.0,,,,,,,1,0.0,,,1.0,0.25,5.0,2.0,,,,,,,,,,,,,411,1.0,,,4,1.09090909090909,1.09090909090909,0.0,,,,,,,,15,,2.0,,,2.0,,,,2.0,2.0,0,67.68295998292811
2016002000280001,2,1,60,2,28,1,1,1,483,2,1.0,40.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,10.0,35.0,100.0,6.0,6.0,10.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,1.0,,,4,0.454545454545455,0.454545454545455,0.0,,,,,,,,40,,,5.0,5.0,,,,,,,0,10.794133622850199
2016002000280002,2,1,60,2,28,2,1,1,483,2,1.0,30.0,4.0,4.0,2.0,8.0,5.6448,8.0,5.6448,8.0,5.6448,,16.0,35.0,100.0,6.0,6.0,16.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,5.0,2.0,2.0,,,,,,,,,,,,,411,1.0,,,4,0.7272727272727271,0.7272727272727271,0.0,,,,,,,,30,,,5.6448,,5.6448,,,,,5.6448,0,12.7655063809922
2065001088550001,2,6,50,1,8855,1,1,1,483,1,,30.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,17.0,35.0,100.0,6.0,2.0,17.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,300.0,2.0,,,,,,,1,0.0,,,1.0,3.0,5.0,2.0,1.0,5.0,2.0,,,,,,,,,,411,1.0,,,4,0.7727272727272729,0.7727272727272729,0.0,,,,,,,,30,,,3.0,3.0,,,,,3.0,3.0,1,9.36517752283183
2065001094930005,2,6,50,1,9493,5,1,1,483,1,,40.0,3.0,3.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,,60.0,35.0,100.0,6.0,2.0,60.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,1.0,,,4,2.7272727272727297,2.7272727272727297,0.0,,,,,,,,40,,,12.0,12.0,,,,,,,1,12.1029288067092
2065001094930006,2,6,50,1,9493,6,1,1,483,1,,30.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,20.0,35.0,100.0,6.0,6.0,20.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,5.0,5.0,2.0,3.0,5.0,2.0,,,,,,,,,,411,1.0,,,4,0.9090909090909092,0.9090909090909092,0.0,,,,,,,,30,,,5.0,5.0,,,,,,5.0,1,47.764583665796614
2065001094960004,2,6,50,1,9496,4,3,3,483,1,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,35.0,100.0,6.0,7.0,5.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,,411,1.0,,,4,0.22727272727272704,0.22727272727272704,0.0,,,,,,,,3,1.0,,,1.0,,,,,1.0,1.0,1,61.9501521213466
2065055000994006,2,6,50,55,99,4006,3,2,483,1,,60.0,4.0,4.0,1.0,2.5,2.5,2.5,2.5,2.5,2.5,,10.0,35.0,100.0,6.0,6.0,10.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,1.0,,,411,1.0,,,4,0.454545454545455,0.454545454545455,0.0,,,,,,,,60,,,2.5,2.5,,,,,,,1,1.0
2075002001300001,2,7,50,2,130,1,2,2,483,1,,7.0,3.0,3.0,1.0,1.0,0.7056,1.0,0.7056,1.0,0.7056,,8.0,35.0,100.0,6.0,2.0,8.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,,,,,,,1.0,5.0,2.0,,,,1.0,,,411,1.0,,,4,0.363636363636364,0.363636363636364,0.0,,,,,,,,7,0.7056,,,0.7056,,,,,0.7056,0.7056,1,29.773796455504197
2075002001830013,2,7,50,2,183,13,2,2,483,1,,30.0,3.0,3.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,,2.0,35.0,100.0,6.0,6.0,2.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,1.0,,,4,0.0909090909090909,0.0909090909090909,0.0,,,,,,,,30,,,0.99,0.99,,,,,,,1,20.6461706822943
5035101224010002,5,3,51,1,22401,2,2,2,483,1,,20.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,35.0,100.0,6.0,7.0,5.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,10.0,1.0,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,2.0,,411,1.0,,,4,0.22727272727272704,0.22727272727272704,0.0,,,,,,,,20,,,1.0,,1.0,,,,1.0,,1,63.48252754245271
7015054000994057,7,1,50,54,99,4057,1,1,483,1,,40.0,3.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,,72.0,35.0,100.0,6.0,1.0,72.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,7.0,7.0,,100.0,,,,,1,0,,,,,,,1,15.0,3.0,,,,,,,1,0.0,,,1.0,,,,,,,28.0,5.0,4.0,,,,,3.0,,411,,2.0,,4,3.2727272727272703,3.2727272727272703,0.0,,,,,,,,40,,,7.0,7.0,,,,7.0,7.0,7.0,1,1.0
7015254000994097,7,1,52,54,99,4097,1,1,483,1,,30.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,12.0,35.0,100.0,6.0,2.0,12.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,5.0,5.0,100.0,,,,,,1,0,,,,,,,1,10.0,3.0,,,,,,,1,0.0,,,1.0,,,,,,,20.0,5.0,4.0,,,,,1.0,,411,,2.0,,4,0.545454545454545,0.545454545454545,0.0,,,,,,,,30,,,5.0,5.0,,,,5.0,5.0,5.0,1,1.0
7095054000994044,7,9,50,54,99,4044,2,2,483,1,,50.0,2.0,2.0,1.0,13.0,13.0,13.0,13.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,,,13.0,13.0,,,,,,13.0,50,,,13.0,13.0,,,,,,,1,1.0
7095061000992558,7,9,50,61,99,2558,3,1,483,1,,50.0,3.5,3.5,1.0,15.0,15.0,15.0,15.0,15.0,15.0,,250.0,29.0,15.0,6.0,5.0,250.0,29.0,15.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,1.70454545454545,1.70454545454545,0.0,,,,,,,,50,,,15.0,15.0,,,,,,,1,1.0
7095454000994042,7,9,54,54,99,4042,1,1,483,1,,50.0,3.5,3.5,1.0,20.0,20.0,20.0,20.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,411,,2.0,,4,,,20.0,20.0,,,,,,20.0,50,,,20.0,20.0,,,,,,,1,1.0
7095454000994068,7,9,54,54,99,4068,1,1,483,1,,40.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,120.0,29.0,20.0,6.0,2.0,120.0,29.0,20.0,6.0,,100.0,,,,,,,,,0,0,0,,,,,,,,,1,1,3.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,1.0,1.0,,411,,2.0,,4,1.09090909090909,1.09090909090909,0.0,,,,,,,,40,,,3.0,3.0,,,,,3.0,,1,1.0
7095454000994073,7,9,54,54,99,4073,1,1,483,1,,40.0,3.5,3.5,1.0,3.5,3.5,3.5,3.5,3.5,3.5,,12.0,35.0,100.0,6.0,6.0,12.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,1.0,,411,,2.0,,4,0.545454545454545,0.545454545454545,0.0,,,,,,,,40,,,3.5,3.5,,,,,,,1,1.0
