identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1015101086210001,0,0,,0.0,0,0,0,0.0
1015101086210002,0,0,,0.0,0,0,0,0.0
1015101086210003,0,0,,0.0,0,0,0,0.0
1015101086210004,0,0,,0.0,0,0,0,0.0
1015101086210005,0,0,,0.0,0,0,0,0.0
1015101086210006,0,0,0.0,0.0,0,0,0,0.0
1015101086210007,0,0,,0.0,0,0,0,0.0
1015101086210008,0,0,,0.0,0,0,0,0.0
1015101086210009,0,0,,0.0,0,1,0,0.0
1015101096190001,0,0,,,0,0,0,
1015101096190003,0,0,,,0,0,0,
1015164000991174,0,0,,,0,0,0,
1015164000991176,0,0,,,0,0,0,
1015201145250001,0,0,,,0,0,0,
1015201145250002,0,0,,,0,0,0,
1015201145250003,0,0,,,0,0,0,
1015201145250004,0,0,,,0,0,0,
1015201151540001,0,0,,,0,0,0,
1015201151540002,0,0,,0.0,0,0,0,0.0
1015201151540004,0,0,,,0,0,0,
1015201153250001,0,0,,,0,0,0,
1015201153250002,0,0,0.0,0.0,0,0,0,0.0
1015201153250003,0,0,,0.0,0,0,0,0.0
1015201153260001,0,0,,0.0,0,0,0,0.0
1015201153260002,0,0,0.0,0.0,0,0,0,0.0
1015201153260003,0,0,,,0,0,0,
1015201154500001,0,0,,,0,0,0,
1015201154500002,0,0,,,0,0,0,
1015201172360001,0,0,,,0,0,0,
1015201174960001,0,0,,,0,0,0,
1015201174960002,0,0,,,0,0,0,
1015201174960003,0,0,,,0,0,0,
1015201174960004,0,0,,,0,0,0,
1015201174960005,0,0,,,0,0,0,
1015301073390001,0,0,,0.0,0,1,0,0.0
1015301073390002,0,0,,,0,0,0,
1015301088600001,0,0,,,0,0,0,
1015301088600002,0,0,,,0,0,0,
1015301093680001,0,0,,,0,0,0,
1015301093680002,0,0,,,0,0,0,
1015301093720001,0,0,,0.0,0,0,0,0.0
1015301093720002,0,0,,,0,0,0,
1015403001650002,0,0,,,0,0,0,
1015403001650003,0,0,,,0,0,0,
1015403001650004,0,0,,,0,0,0,
1015403001650005,0,0,,,0,0,0,
1015403001650006,0,0,,,0,0,0,
1015601062970001,0,0,1.0,0.0,0,0,0,0.0
1015601062970003,0,0,1.0,0.0,0,0,0,0.0
1015601062970004,0,0,,,0,0,0,
1015601062970005,0,0,1.0,0.0,0,0,0,0.0
1015601062970006,0,0,,0.0,0,0,0,0.0
1015601062970007,0,0,,0.0,0,0,0,0.0
1015601062970008,0,0,1.0,0.0,0,0,0,0.0
1015601062970010,0,0,0.0,0.0,0,0,0,0.0
1015601063680002,0,0,1.0,0.0,0,0,0,0.0
1015601063680003,0,0,,0.0,0,0,0,0.0
1015601063680004,0,0,,,0,0,0,
1015601063680005,0,0,0.0,0.0,0,0,0,0.0
1015601063680007,0,0,0.0,0.0,0,0,0,0.0
1015601063680008,0,0,,,0,0,0,
1015601063680009,0,0,0.0,0.0,0,0,0,0.0
1015701000570001,0,0,,,0,0,0,
1015701000570002,0,0,,,0,0,0,
1015701002470001,0,0,,,0,0,0,
1015701002470003,0,0,,,0,0,0,
1015701003280002,0,0,,,0,0,0,
1015701004170001,0,0,,,0,0,0,
1015701005090001,0,0,,,0,0,0,
1015701005700001,0,0,,,0,0,0,
1015701005700002,0,0,,,0,0,0,
1015701006740001,0,0,,,0,0,0,
1015701007160001,0,0,,,0,0,0,
1015701007480001,0,0,,,0,0,0,
1015701008050001,0,0,,,0,0,0,
1015701010240001,0,0,,,0,0,0,
1015701013150001,0,0,,,0,0,0,
1015701013570001,0,0,,,0,0,0,
1015701014560001,0,0,,,0,0,0,
1015701014560002,0,0,,,0,0,0,
1015701016040001,0,0,,,0,0,0,
1015701016530001,0,0,,,0,0,0,
1015701018130002,0,0,,0.0,0,0,0,0.0
1015701021550001,0,0,,,0,0,0,
1015701021750001,0,0,,,0,0,0,
1015701023230002,0,0,,,0,0,0,
1015701032570001,0,0,,,0,0,0,
1015701034340001,0,0,,,0,0,0,
1015701034340003,0,0,,,0,0,0,
1015701044060001,0,0,,,0,0,0,
1015701068490001,0,0,,,0,0,0,
1015701068510001,0,0,,,0,0,0,
1015701077200001,0,0,,,0,0,0,
1015702000130001,1,0,,,0,1,0,
1015702000130002,0,0,,,0,0,0,
1015702000130003,1,0,,,0,1,0,
1015702000130005,0,0,,,0,0,0,
1015702000350001,0,0,,,0,0,0,
1015702000540001,0,0,,,0,1,0,
1015702000720001,0,0,,,0,0,0,
1015702000720002,0,0,,,0,0,0,
1015702000720003,0,0,,,0,1,0,
1015702000720004,0,0,,,0,0,0,
1015702000720005,0,0,,,0,1,0,
1015702000720006,0,0,1.0,0.0,0,0,0,0.0
1015702000720007,0,0,,,0,0,0,
1015702000720008,0,0,,,0,1,0,
1015702000720009,0,0,,,0,1,0,
1015702000720010,0,0,,,0,0,0,
1015703000370001,0,0,,,0,1,0,
1015703000370002,0,0,,,0,1,0,
1015703002230001,0,0,1.0,0.0,0,0,0,0.0
1015703002230002,0,0,,0.0,0,0,0,0.0
1015703002230003,0,0,,,0,0,0,
1015703002230004,0,0,,,0,0,0,
1015703002230005,0,0,,0.0,0,0,0,0.0
1015703002230008,0,0,,,0,0,0,
1015703002230009,0,0,,0.0,0,0,0,0.0
1015703002230012,0,0,,,0,0,0,
1015703002230013,0,0,,,0,0,0,
1015703002230014,0,0,,,0,0,0,
1015703002230015,0,0,,,0,0,0,
1015703002230016,0,0,,,0,0,0,
1015703002230017,0,0,,,0,0,0,
1015703002230018,0,0,,,0,0,0,
1015754000994062,1,0,,,1,1,0,
1015754000994070,0,0,,,0,1,0,
1015754000994106,0,0,,,0,1,0,
1015801070830001,0,0,,,0,0,0,
1015801070830002,0,0,0.0,0.0,0,0,0,0.0
1015801070830004,0,0,,,0,0,0,
1015801070830005,0,0,0.0,0.0,0,0,0,0.0
1015801070830010,0,0,0.0,0.0,0,0,0,0.0
1015801071650001,0,0,,0.0,0,0,0,0.0
1015801071650002,0,0,,0.0,0,0,0,0.0
1015801071650003,0,0,,0.0,0,0,0,0.0
1015801071650004,0,0,,0.0,0,0,0,0.0
1015801071650008,0,0,,0.0,0,0,0,0.0
1015801071650010,0,0,1.0,0.0,0,0,0,0.0
1015801071650012,0,0,0.0,0.0,0,0,0,0.0
1015801071650014,0,0,,,0,0,0,
1015801071650015,0,0,,,0,0,0,
1015801071650016,0,0,,,0,0,0,
1015801071650017,0,0,1.0,0.0,0,0,0,0.0
1015801071650018,0,0,,0.0,0,0,0,0.0
1015801071650020,0,0,,,0,0,0,
1015801077640001,0,0,0.0,0.0,0,0,0,0.0
1015801077640002,0,0,,,0,0,0,
1015801077640004,0,0,0.0,0.0,0,0,0,0.0
1015801077640005,0,0,0.0,0.0,0,0,0,0.0
1015801077640006,0,0,,,0,0,0,
1015801078400001,0,0,0.0,0.0,0,0,0,0.0
1015801078400002,0,0,0.0,0.0,0,0,0,0.0
1015801078400003,0,0,,,0,0,0,
1015864000991217,0,0,,,0,0,0,
1015901037520003,0,0,,0.0,0,0,0,0.0
1015901037520004,0,0,0.0,0.0,0,0,0,0.0
1015901037520005,0,0,1.0,0.0,0,0,0,0.0
1015901037520006,0,0,1.0,0.0,0,0,0,0.0
1015901037520007,0,0,1.0,0.0,0,0,0,0.0
1015901037520008,0,0,,0.0,0,0,0,0.0
1015901037980001,0,0,0.0,0.0,0,0,0,0.0
1015901037980002,0,0,0.0,0.0,0,0,0,0.0
1015901037980003,0,0,0.0,0.0,0,0,0,0.0
1015901037980004,0,0,1.0,0.0,0,0,0,0.0
