Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc
17035101244110005,17,3,51,1,24411,5,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14015301033850001,14,1,53,1,3385,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17015401048900003,17,1,54,1,4890,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9115404002530004,9,11,54,4,253,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17035101247370001,17,3,51,1,24737,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17085001024540002,17,8,50,1,2454,2,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4015001014270001,4,1,50,1,1427,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3045001037080008,3,4,50,1,3708,8,0,,,,,,,,,,,,,,,
4055301066190002,4,5,53,1,6619,2,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015901020780002,2,1,59,1,2078,2,0,,,,,,,,,,,,,,,
21045002035630003,21,4,50,2,3563,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2055401127440011,2,5,54,1,12744,11,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9125002088720013,9,12,50,2,8872,13,0,,,,,,,,,,,,,,,
11045701159270002,11,4,57,1,15927,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10065501052800001,10,6,55,1,5280,1,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17018101033370002,17,1,81,1,3337,2,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2055301145720002,2,5,53,1,14572,2,0,,,,,,,,,,,,,,,
11105101052080004,11,10,51,1,5208,4,0,,,,,,,,,,,,,,,
4065001025490001,4,6,50,1,2549,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2075002001830002,2,7,50,2,183,2,0,,,,,,,,,,,,,,,
3015701051640002,3,1,57,1,5164,2,0,,,,,,,,,,,,,,,
13045002070290011,13,4,50,2,7029,11,0,,,,,,,,,,,,,,,
21025001006990002,21,2,50,1,699,2,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6075401007900003,6,7,54,1,790,3,0,,,,,,,,,,,,,,,
17095002001880001,17,9,50,2,188,1,0,,,,,,,,,,,,,,,
12085002069670021,12,8,50,2,6967,21,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5075001012810001,5,7,50,1,1281,1,0,,,,,,,,,,,,,,,
4065001052830009,4,6,50,1,5283,9,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7125102018350003,7,12,51,2,1835,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12075404000020009,12,7,54,4,2,9,0,,,,,,,,,,,,,,,
17025201113450002,17,2,52,1,11345,2,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
