Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
3045002001400003,3,4,50,2,140,3,1,1,419,1,,6.0,1.5,1.5,2.0,25.0,25.0,25.0,25.0,25.0,25.0,,2350.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,2350.0,,,1,1,1,25.0,25.0,,100.0,,,,,1,0,,,,,,,1,125.0,2.0,125.0,2.0,,,,,1,0.0,,,1.0,38.0,5.0,4.0,,,,,,,,,,50.0,,,419,1.0,,,4,2136.36363636364,,0.0,,,,,,,,6,25.0,,,,25.0,,,25.0,25.0,25.0,1,0.0
3045002001400003,3,4,50,2,140,3,2,2,419,1,,6.0,1.5,1.5,2.0,25.0,25.0,25.0,25.0,25.0,25.0,,2350.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,2350.0,,,1,1,1,25.0,25.0,,100.0,,,,,1,0,,,,,,,1,125.0,2.0,125.0,2.0,,,,,1,0.0,,,1.0,38.0,5.0,4.0,,,,,,,,,,50.0,,,419,1.0,,,4,2136.36363636364,,0.0,,,,,,,,6,25.0,,,,25.0,,,25.0,25.0,25.0,1,0.0
3045002001400003,3,4,50,2,140,3,3,3,419,1,,6.0,1.5,1.5,2.0,30.0,30.0,30.0,30.0,30.0,30.0,,2820.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,2820.0,,,1,1,1,30.0,30.0,,100.0,,,,,1,0,,,,,,,1,145.0,2.0,145.0,2.0,,,,,1,0.0,,,1.0,145.0,5.0,4.0,,,,,,,,,,60.0,,,419,1.0,,,4,2563.6363636363603,,0.0,,,,,,,,6,30.0,,,,30.0,,,30.0,30.0,30.0,1,0.0
3045002001400003,3,4,50,2,140,3,4,4,419,1,,6.0,1.5,1.5,2.0,115.0,115.0,115.0,115.0,115.0,115.0,,10810.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,10810.0,,,1,1,1,115.0,115.0,,100.0,,,,,1,0,,,,,,,1,2340.0,2.0,2340.0,2.0,,,,,1,0.0,,,1.0,2340.0,5.0,4.0,,,,,,,,,,230.0,,,419,1.0,,,4,9827.27272727273,,0.0,,,,,,,,6,115.0,,,,115.0,,,115.0,115.0,115.0,1,0.0
3045002001840001,3,4,50,2,184,1,1,1,419,1,,6.0,1.5,1.5,2.0,25.0,25.0,25.0,25.0,25.0,25.0,,2350.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,2350.0,,,1,1,1,25.0,25.0,,100.0,,,,,1,0,,,,,,,1,125.0,2.0,125.0,2.0,,,,,1,0.0,,,1.0,38.0,5.0,4.0,,,,,,,,,,50.0,,,419,1.0,,,4,2136.36363636364,,0.0,,,,,,,,6,25.0,,,,25.0,,,25.0,25.0,25.0,1,0.0
3045002001840001,3,4,50,2,184,1,2,2,419,1,,6.0,1.5,1.5,2.0,20.0,20.0,20.0,20.0,20.0,20.0,,1880.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,1880.0,,,1,1,1,20.0,20.0,,100.0,,,,,1,0,,,,,,,1,115.0,2.0,115.0,2.0,,,,,1,0.0,,,1.0,30.0,5.0,4.0,,,,,,,,,,40.0,,,419,1.0,,,4,1709.0909090909101,,0.0,,,,,,,,6,20.0,,,,20.0,,,20.0,20.0,20.0,1,0.0
3045002001840001,3,4,50,2,184,1,3,3,419,1,,6.0,1.5,1.5,2.0,10.0,10.0,10.0,10.0,10.0,10.0,,940.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,940.0,,,1,1,1,10.0,10.0,,100.0,,,,,1,0,,,,,,,1,75.0,2.0,75.0,2.0,,,,,1,0.0,,,1.0,20.0,5.0,4.0,,,,,,,,,,20.0,,,419,1.0,,,4,854.5454545454552,,0.0,,,,,,,,6,10.0,,,,10.0,,,10.0,10.0,10.0,1,0.0
3045002001840001,3,4,50,2,184,1,4,4,419,1,,6.0,1.5,1.5,2.0,10.0,10.0,10.0,10.0,10.0,10.0,,940.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,940.0,,,1,1,1,10.0,10.0,,100.0,,,,,1,0,,,,,,,1,75.0,2.0,75.0,2.0,,,,,1,0.0,,,1.0,20.0,5.0,4.0,,,,,,,,,,20.0,,,419,1.0,,,4,854.5454545454552,,0.0,,,,,,,,6,10.0,,,,10.0,,,10.0,10.0,10.0,1,0.0
3045002001840001,3,4,50,2,184,1,5,5,419,1,,6.0,1.5,1.5,2.0,10.0,10.0,10.0,10.0,10.0,10.0,,940.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,940.0,,,1,1,1,10.0,10.0,,100.0,,,,,1,0,,,,,,,1,75.0,2.0,75.0,2.0,,,,,1,0.0,,,1.0,20.0,5.0,4.0,,,,,,,,,,20.0,,,419,1.0,,,4,854.5454545454552,,0.0,,,,,,,,6,10.0,,,,10.0,,,10.0,10.0,10.0,1,0.0
3045002001840001,3,4,50,2,184,1,6,6,419,1,,6.0,1.5,1.5,2.0,20.0,20.0,20.0,20.0,20.0,20.0,,1880.0,43.0,2000.0,12.0,7.0,,,,,,,,,,,,1880.0,,,1,1,1,20.0,20.0,,100.0,,,,,1,0,,,,,,,1,115.0,2.0,115.0,2.0,,,,,1,0.0,,,1.0,30.0,5.0,4.0,,,,,,,,,,40.0,,,419,1.0,,,4,1709.0909090909101,,0.0,,,,,,,,6,20.0,,,,20.0,,,20.0,20.0,20.0,1,0.0
