Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin_cultivo
9015802157460002,9,1,58,2,15746,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,88.0,21,13.0,8.0,1.0,1.0,,20.0,12.0,8.0,,,,,2.0,,4,0.0948003365931568,0,,99.0,1,54,4,2,0,1,1,88.0,1,8,3,0.0,1.0,,,0.0,1,1,407,1,,0.0,3.0,3.0,2.0,88.0,88.0,88.0,88.0,88.0,88.0,,112040.0,16.0,43.0,3.0,7.0,109799.2,16.0,43.0,3.0,0.0,100.0,,,,2240.8,,,,,0,0,1,88.0,88.0,,100.0,,,,,1,0,,,,,,,1,17600.0,2.0,,,,,,,1,0.0,,,1.0,176.0,5.0,3.0,40.0,5.0,4.0,22.0,5.0,2.0,,,,,,,407,,2.0,,4,2189.87272727273,2146.0752727272697,0.0,,,,,,,,0,88.0,,,,88.0,,,88.0,88.0,88.0,1,0.0948003365931568
9095002124040006,9,9,50,2,12404,6,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,130.0,65,55.0,10.0,1.0,,1.0,64.0,55.0,9.0,,,,,2.0,,4,0.10588581684220501,1,1.0,,0,24,4,3,0,1,1,130.0,1,9,2,0.0,0.0,,,0.0,1,1,407,1,,5.0,3.0,3.0,1.0,97.91,97.91,97.91,97.91,97.91,97.91,,254400.0,16.0,42.0,3.0,7.0,254400.0,16.0,42.0,3.0,0.0,100.0,,,,,,,,,0,0,1,97.91,97.91,,100.0,,,,,1,0,,,,,,,1,,,19400.0,2.0,,,,,1,0.0,,,1.0,48.95,5.0,3.0,,,,,,,,,,,,,407,,2.0,,4,4856.72727272727,4856.72727272727,0.0,,,,,,,,5,97.91,,,97.91,,,,97.91,97.91,97.91,1,0.140589890608586
12125002059770001,12,12,50,2,5977,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,360.0,159,82.0,77.0,1.0,1.0,,155.0,78.0,77.0,3.0,3.0,,,2.0,,4,0.191019674064036,1,1.0,,1,49,6,7,0,0,0,360.0,1,10,3,1.0,1.0,0.0,,1.0,1,1,407,1,,30.0,3.0,3.0,3.0,98.0,98.0,98.0,98.0,98.0,98.0,,325000.0,16.0,43.0,3.0,7.0,325000.0,16.0,43.0,3.0,100.0,,,,,,,,,,0,0,1,98.0,98.0,,100.0,,,,,1,0,,,,,,,1,26150.0,2.0,36150.0,2.0,36150.0,2.0,46000.0,2.0,1,0.0,,,1.0,735.0,5.0,4.0,735.0,5.0,4.0,735.0,5.0,4.0,735.0,5.0,4.0,,,,407,,2.0,,4,6352.27272727273,6352.27272727273,0.0,,,,,,,,30,,,98.0,,,98.0,,98.0,98.0,98.0,1,0.18267512518810802
12125002059770001,12,12,50,2,5977,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,360.0,159,82.0,77.0,1.0,1.0,,155.0,78.0,77.0,3.0,3.0,,,2.0,,4,0.191019674064036,1,1.0,,1,49,6,7,0,0,0,360.0,1,10,3,1.0,1.0,0.0,,1.0,2,2,407,1,,30.0,3.0,3.0,3.0,98.0,98.0,98.0,98.0,98.0,98.0,,325000.0,16.0,43.0,3.0,7.0,325000.0,16.0,43.0,3.0,100.0,,,,,,,,,,0,0,1,98.0,98.0,,100.0,,,,,1,0,,,,,,,1,26150.0,2.0,36150.0,2.0,36150.0,2.0,66150.0,2.0,1,0.0,,,1.0,735.0,5.0,4.0,735.0,5.0,4.0,735.0,5.0,4.0,735.0,5.0,4.0,,,,407,,2.0,,4,6352.27272727273,6352.27272727273,0.0,,,,,,,,30,,,98.0,,,98.0,,98.0,98.0,98.0,1,0.32422648767095397
5025002001150004,5,2,50,2,115,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,267.0,67,67.0,,1.0,1.0,,16.0,16.0,,50.0,50.0,,1.0,,,4,0.20798036079994395,0,,8.0,1,63,4,3,0,0,0,267.0,1,10,4,0.0,1.0,,,1.0,1,1,407,1,,12.0,3.0,3.0,2.0,42.0,42.0,42.0,42.0,42.0,42.0,,50400.0,16.0,43.0,3.0,2.0,50400.0,16.0,43.0,3.0,,100.0,,,,,,,,,0,0,1,42.0,42.0,,100.0,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,36.0,5.0,1.0,30.0,5.0,3.0,,,,,,,,,,407,1.0,,,4,985.090909090909,985.090909090909,0.0,,,,,,,,12,,42.0,,,42.0,,,42.0,,42.0,1,1.32216086508536
12085002097920016,12,8,50,2,9792,16,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,300.0,51,49.0,2.0,2.0,2.0,,31.0,29.0,2.0,18.0,18.0,,,2.0,,4,0.256758397639515,0,,10.0,1,64,3,2,0,1,1,300.0,1,10,4,0.0,0.0,,,0.0,1,1,407,1,,15.0,2.72,2.5,2.0,84.0,84.0,84.0,84.0,84.0,84.0,,230400.0,16.0,43.0,3.0,2.0,225792.0,16.0,43.0,3.0,100.0,,,,,4608.0,,,,,1,0,1,84.0,84.0,,,100.0,,,,1,0,,,,,,,1,16800.0,2.0,33600.0,2.0,16800.0,2.0,16800.0,2.0,1,0.0,,,1.0,84.0,5.0,2.0,67.2,5.0,2.0,672.0,5.0,3.0,,,,10.0,,,407,,2.0,,4,4503.27272727273,4413.207272727271,0.0,,,,,,,,15,,84.0,,,84.0,,,84.0,84.0,84.0,1,0.916994277283984
9125002091730002,9,12,50,2,9173,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,49.0,57,47.0,10.0,1.0,1.0,,26.0,26.0,,30.0,20.0,10.0,,2.0,,4,0.306474290061264,0,,99.0,1,45,4,3,0,1,1,49.0,1,7,3,0.0,0.0,,,0.0,1,1,407,1,,20.0,2.3,2.3,2.0,48.95,48.95,48.95,48.95,48.95,48.95,,97000.0,16.0,43.0,3.0,7.0,95000.0,16.0,43.0,3.0,0.0,100.0,,,2000.0,,,,,,0,0,1,48.95,48.95,,100.0,,,,,1,1,,,,,5000.0,1.0,1,2400.0,2.0,2400.0,2.0,2400.0,2.0,1200.0,2.0,1,0.0,,,1.0,1200.0,5.0,3.0,,,,2400.0,5.0,5.0,,,,,,,407,,2.0,,4,1895.9090909090894,1856.81818181818,0.0,,,,,,,,20,,,48.95,,48.95,,,48.95,48.95,48.95,1,0.272465819831332
9205602110030001,9,20,56,2,11003,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,210.0,151,151.0,,1.0,1.0,,150.0,150.0,,,,,,2.0,,4,0.310062722107485,0,,99.0,1,57,4,3,0,1,1,210.0,1,10,3,0.0,0.0,,,1.0,1,1,407,1,,0.0,3.0,3.0,1.0,210.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,210.0,210.0,100.0,,,,,,1,0,,,,,,,1,420.0,3.0,210.0,3.0,,,560.0,3.0,1,0.0,,,1.0,4820.0,5.0,3.0,340.0,1.0,3.0,2456.0,5.0,4.0,,,,,,,407,,2.0,,4,,,,,,,,,,,0,210.0,,,210.0,,,,210.0,210.0,210.0,1,0.310062722107485
9105002099970013,9,10,50,2,9997,13,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,101.7,123,108.0,15.0,1.0,1.0,,122.0,107.0,15.0,,,,,2.0,,4,0.40893959157973797,0,,60.0,1,99,4,3,0,1,1,101.7,1,9,6,0.0,1.0,,,0.0,1,1,407,1,,5.0,2.0,4.0,2.0,101.7,101.7,101.7,101.7,101.7,101.7,,26840.0,16.0,41.5,3.0,7.0,26840.0,16.0,41.5,3.0,10.0,90.0,,,,,,,,,0,0,1,101.7,101.7,,100.0,,,,,1,0,,,,,,,1,121400.0,2.0,,,,,,,1,0.0,,,1.0,336.0,5.0,1.0,96.0,5.0,2.0,,,,,,,,,,407,,2.0,,4,506.3,506.3,0.0,,,,,,,,5,101.7,,,,101.7,,,101.7,101.7,101.7,1,0.40893959157973797
8045502162290005,8,4,55,2,16229,5,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,27.5,34,19.0,15.0,3.0,2.0,1.0,3.0,3.0,,28.0,14.0,14.0,,2.0,,4,0.6119507521054109,0,,14.0,1,64,4,3,0,1,1,27.5,1,7,4,1.0,1.0,,,1.0,1,1,407,1,,22.0,2.73,2.4,2.0,10.0,10.0,10.0,10.0,10.0,10.0,,2496.0,16.0,41.0,3.0,7.0,2496.0,16.0,41.0,3.0,100.0,,,,,,,,,,0,0,1,10.0,10.0,,100.0,,,,,1,1,,,18.0,4.0,1600.0,1.0,0,,,,,,,,,1,1.0,20.0,5.0,0.0,,,,,,,,,,,,,28.0,2.0,,407,,2.0,,4,46.5163636363636,46.5163636363636,0.0,,,,,,,,22,,,10.0,,10.0,,,10.0,10.0,10.0,1,1.68286456828988
